species_code,genus,species,subspecies,specific_name,generic_name,new_genus,new_species,new_subspecies,new_specific_name,new_generic_name
LOBC,,,,,,LOBOPHYLLIA,CORYMBOSA, ,BRAIN,CORAL
LOBH,,,,,,LOBOPHYLLIA,HEMPRICHII, ,BRAIN,CORAL
LOBO,,,,,,LOBOPHYLLIA,SPECIES, ,BRAIN,CORAL
LOL?,,,,,,LOLIGO,SPECIES, , ,SQUID
LOXA,,,,,,LOXODONTA,AFRICANA, ,AFRICAN,ELEPHANT
LUR?,,,,,,LUTRARIA,SPECIES,,OTTER,CLAM
LYNR,,,,,,LYNX,RUFUS, , ,BOBCAT
MAAB,,,,,,MALLEUS,ALBUS,,,SHELL
MACG,,,,,,MACROPUS,GIGANTEUS, ,EASTERN GRAY,KANGAROO
MACR,,,,,,MACROPUS,RUFUS, ,RED,KANGAROO
MALL,,,,,,ANAS,PLATYRHYNCHOS, , ,MALLARD
MALM,,,,,,MALLEUS,MALLEUS, ,HAMMER,SHELL
MAMP,,,,,,MAMMUTHUS,PRIMIGENIUS,,WOOLLY,MAMMOTH
MATF,,,,,,TROPICAL FISH,(MARINE SPP.),,,
MAWA,,,,,,DENDROICA,MAGNOLIA, ,MAGNOLIA,WARBLER
MELG,,,,,,MELEAGRIS,GALLOPAVO, ,WILD,TURKEY
MFAS,,,,,,MACACA,FASCICULARIS, ,CRAB-EATING,MACAQUE
MIMN,,,,,,MICRASTUR,MINTONI,,CRYPTIC FOREST,FALCON
MINK,,,,,,MUSTELA,VISON, ,AMERICAN,MINK
MLT?,,,,,,MELITHEA,SPECIES, , ,CORAL
MOLL,,,,,, , , ,SHELLS,MOLLUSCS
MOOS,,,,,,ALCES,ALCES, , ,MOOSE
MOP?,,,,,,MONTIPORA,SPECIES, , ,CORAL
MOVA,,,,,,MONTASTRAEA,VALENCIENNESII, ,BRAIN,CORAL
NETU,,,,,,NEMENZOPHYLLIA,TURBIDA,,FOX,CORAL
NONC,,,,,,NONCITES ENTRY, , , ,NON CITES
NONI,,,,,,NONCITES ENTRY, , , ,INSECTS
NONL,,,,,,NONCITES ENTRY, ,, ,CRUSTACEAN
NONM,,,,,,NONCITES ENTRY,,,,MAMMALS
NOPA,,,,,,PARULA,AMERICANA, ,NORTHERN,PARULA
NOWA,,,,,,SEIURUS,NOVEBORACENSIS, ,NORTHERN,WATERTHRUSH
OCOC,,,,,,OCTOPUS,OCELLATUS,,,OCTOPUS
OCVU,,,,,,OCTOPUS,VULGARIS,,COMMON,OCTOPUS
OLIN,,,,,,OTHER LIVE INVERTS,IN TROP FISH &,OTHER SHIPMENTS, , 
ORAM,,,,,,OREAMNOS,AMERICANUS, ,N. AMER. MOUNTAIN,GOAT
ORYC,,,,,,ORYCTOLAGUS,CUNICULUS, ,OLD WORLD,RABBIT
OVEN,,,,,,SEIURUS,AUROCAPILLUS, , ,OVENBIRD
PACR,,,,,,PAVO,CRISTATUS, ,COMMON,PEAFOWL
PANP,,,,,,PANTHERA,PARDUS, , ,LEOPARD
PAOL,,,,,,PARALICHTHYS,OLIVACEUS, , ,FLOUNDER
PCME,,,,,,PINCTADA,MELEGRINA, , ,OYSTER
PFUC,,,,,,PINCTADA,FUCATA, , ,OYSTER
PHAC,,,,,,PHASIANUS,COLCHICUS, ,COMMON,PHEASANT
PIIN,,,,,,PINNA,INCURVA,,,SHELL
PIMX,,,,,,PINCTADA,MAXIMA, , ,OYSTER
PINI,,,,,,PINCTADA,NIGRA,,,OYSTER
PINM,,,,,,PINCTADA,MARGARITIFERA, ,GREAT PEARL,OYSTER
PIVE,,,,,,PINNA,VEXILLUM,,,SHELL
PIVU,,,,,,PINCTADA,VULGARIS,,,OYSTER
PLES,,,,,,PLEROGYRA,SINUOSA, ,BUBBLE,CORAL
PLIC,,,,,,PHYSOGYRA,LICHTENSTEINI, ,PEARL BUBBLE,CORAL
PLTS,,,,,,PLATICHTHYS,STELLATUS,,STARRY,FLOUNDER
PMC?,,,,,,POMACEA,SPECIES,,,SNAIL
POR?,,,,,,PORITES,SPECIES, , ,CORAL
POTP,,,,,,POTAMILUS,PURPURATUS, , ,BLEUFER
POTU,,,,,,POLINICES,TUMIDUS,,MOON,SHELL
POWA,,,,,,PROTONOTARIA,CITREA, ,PROTHONOTARY,WARBLER
PPER,,,,,,PERDIX,PERDIX, ,GREY,PARTRIDGE
PRAN,,,,,,PROTEUS,ANGUINUS, , ,OLM
PRGL,,,,,,PRIONACE,GLAUCA, ,BLUE,SHARK
PRWA,,,,,,DENDROICA,DISCOLOR, ,PRAIRIE,WARBLER
PUKU,,,,,,KOBUS,VARDONII, , ,PUKU
PYTM,,,,,,PYTHON,MOLURUS,BIVITTATUS,BURMESE,PYTHON
PYTR,,,,,,PYTHON,RETICULATUS, ,RETICULATED,PYTHON
REED,,,,,,REDUNCA,ARUNDINUM, , ,REEDBUCK
RIV?,,,,,,RIVULUS,SPECIES,,,KILLIFISH
SABL,,,,,,MARTES,ZIBELLINA, , ,SABLE
SASA,,,,,,SALAMANDRA,SALAMANDRA, ,EUROPEAN FIRE,SALAMANDER
SC00,,,,,,SCLERACTINIA, , ,STONY,CORAL
SCVI,,,,,,SCOLYMIA,VITIENSIS, ,DOUGHNUT,CORAL
SEA?,,,,,,SEPIA,SPECIES, , ,CUTTLEFISH
SRC?,,,,,,SARCOPHYTON,SPECIES, , ,CORAL
STCA,,,,,,STRUTHIO,CAMELUS, ,SOUTHERN AFRICAN,OSTRICH
STIJ,,,,,,STICHOPUS,JAPONICUS,,,SEA CUCUMBER
STPI,,,,,,STICHOPATHES,PAUCISPINA, ,BLACK,CORAL
SWWA,,,,,,LIMNOTHLYPIS,SWAINSONII, ,SWAINSON'S,WARBLER
SYAG,,,,,,SYMPHYLLIA,AGARICIA, , ,CORAL
SYM?,,,,,,SYMPHYLLIA,SPECIES, , ,CORAL
TENI,,,,,,TECTUS,NILOTICUS, ,TROCHA,SHELL
TMAX,,,,,,TRIDACNA,MAXIMA, ,SMALL GIANT,CLAM
TMES,,,,,,TURBINARIA,MESENTERINA, ,PAGODA,CORAL
TOPA,,,,,,TODARODES,PACIFICUS,,,SQUID
TRAS,,,,,,TRAGELAPHUS,SPEKII, ,SITATUNGA,ANTELOPE
TRGE,,,,,,TRACHYPHYLLIA,GEOFFROYI, ,CRATER,CORAL
TRON,,,,,,TROCHUS,NILOTICUS, ,TROCA,SHELL
TSQU,,,,,,TRIDACNA,SQUAMOSA, ,SCALY,CLAM
TUAU,,,,,,TUBASTRAEA,AUREA, ,DAISY,CORAL
TUB?,,,,,,TUBASTRAEA,SPECIES, ,DAISY,CORAL
TUMU,,,,,,TUBIPORA,MUSICA, ,ORGAN-PIPE,CORAL
TUPE,,,,,,TURBINARIA,PELTATA, ,BOWL,CORAL
TUR?,,,,,,TURBO,SPECIES, ,TURBO,SHELL
VARN,,,,,,VARANUS,NILOTICUS, ,NILE,MONITOR
VVCU,,,,,,VICUGNA,VICUGNA,,,VICUNA
WDER,,,,,,ODOCOILEUS,VIRGINIANUS, ,WHITE-TAILED,DEER
WERA,,,,,,WELLSOPHYLLIA,RADIATA,,CRATER,CORAL
WEVI,,,,,,VIREO,GRISEUS, ,WHITE-EYED,VIREO
WEWA,,,,,,HELMITHEROS,VERMIVORUS, ,WORM-EATING,WARBLER
WHIP,,,,,,PTYAS,MUCOSUS, ,ORIENTAL RAT,SNAKE
WHOG,,,,,,PHACOCHOERUS,AETHIOPICUS, ,WART,HOG
XELA,,,,,,XENOPUS,LAEVIS, ,AFRICAN CLAWED,TOAD
ZEBR,,,,,,EQUUS,BURCHELLII, ,COMMON,ZEBRA
