genus,species,subspecies,specific_name,generic_name,taxa,class
ninia,sp.,NA,COFFEE,SNAKE,NA,Reptilia
noncites entry,sp.,NA,NA,NON CITES,NA,NA
noncites entry,sp.,NA,NA,NA,NA,NA
none,none,NA,NA,NA,NA,NA
nordotis,discus,NA,NA,NA,NA,Gastropoda
nordotis,sp.,NA,NA,ABALONE,NA,Gastropoda
nototriphyllus,araucania,NA,NA,NA,NA,Insecta
nyctimystes,sp.,NA,BIG-EYED,FROG,NA,Amphibia
nylanderia,sp.,NA,NA,NA,NA,Insecta
obba,bigonia,NA,NA,NA,NA,Gastropoda
oceanodroma,sp.,NA,NA,STORM-PETREL,NA,Aves
odonata,sp.,NA,NA,NA,NA,Insecta
oides,sp.,NA,NA,BEETLE,NA,Insecta
omalacantha,bicornuta,NA,NA,NA,NA,Malacostraca
ophioderma,sp.,NA,NA,BRITTLE STAR,NA,Ophiuroidea
ortalis,sp.,NA,NA,CHACHALACA,NA,Aves
orthoptera,sp.,NA,NA,NA,NA,Insecta
ostreidae,sp.,NA,NA,NA,NA,Bivalvia
other live inverts,inverts,other shipments,NA,NA,NA,NA
otodus,obliquus,NA,MACKEREL,SHARK,NA,Elasmobranchii
pachyclavularia,sp.,NA,STAR,POLYP,NA,Anthozoa
pachyclavularia,violacea,NA,NA,NA,NA,Anthozoa
paedophryne,swiftorum,NA,NA,NA,NA,Amphibia
paphia,sp.,NA,NA,CLAM,NA,Bivalvia
paracucujus,rostratus,NA,NA,NA,NA,Insecta
parisoma,layardi,NA,LAYARD'S,WARBLER,NA,Aves
parisoma,sp.,NA,NA,WARBLER,NA,Aves
parisoma,subcaeruleum,NA,CHESTNUT-VENTED,WARBLER,NA,Aves
patallus,mollis,NA,NA,NA,NA,Holothuroidea
patallus,mollis,NA,NA,SEA CUCUMBER,NA,Holothuroidea
pathysa,antiphates,NA,FIVE BAR SWORDTAIL,BUTTERFLY,NA,Insecta
pathysa,nomius,NA,NA,NA,NA,Insecta
pathysa,nomius,NA,SPOT SWORDTAIL,BUTTERFLY,NA,Insecta
pathysa,sp.,NA,SWORDTAIL,BUTTERFLY,NA,Insecta
patinigera,magellanica,NA,NA,NA,NA,Gastropoda
pazala,euroa,NA,NA,NA,NA,Insecta
pedunculata,sp.,NA,NA,NA,NA,Maxillopoda
peripatus,sp.,NA,VELVET,WORM,NA,NA
photololigo,edulis,NA,NA,NA,NA,Cephalopoda
phyllidiidae,sp.,NA,NA,NA,NA,Gastropoda
phyllodoce,sp.,NA,NA,NA,NA,Polychaeta
pinnidae,sp.,NA,NA,NA,NA,Bivalvia
platens,omnodum,NA,NA,NA,NA,Malacostraca
platens,omnodum,NA,NA,CRUSTACEAN,NA,Malacostraca
pleuronectiformes,sp.,NA,NA,NA,NA,Actinopterygii
poecilocoris,latus,NA,STINK,BUG,NA,Insecta
poecilocoris,sp.,NA,STINK,BUG,NA,Insecta
polynoidae,sp.,NA,NA,NA,NA,Polychaeta
porifera,sp.,NA,NA,NA,NA,NA
pristidae,sp.,NA,NA,SAWFISHES,NA,Elasmobranchii
pseudosciaena,sp.,NA,NA,CROAKER,NA,Actinopterygii
pterourus,sp.,NA,NA,BUTTERFLY,NA,Insecta
pupinidae,sp.,NA,NA,NA,NA,Gastropoda
purcellia,sp.,NA,NA,HARVESTMAN,NA,Arachnida
ranzania,bertolonii,NA,NA,NA,NA,Insecta
ranzania,sp.,NA,NA,SUNFISH,NA,Actinopterygii
re-export,re-export,NA,NA,NA,NA,NA
rhacophorus,helenae,NA,NA,NA,NA,Amphibia
rhacophorus,javanus,NA,JAVA FLYING,FROG,NA,Amphibia
rhizostomeae,sp.,NA,NA,NA,NA,Scyphozoa
rhynchotragus,kirkii,NA,NA,DIK-DIK,NA,Mammalia
rhytimna,sp.,NA,RUSTY-RED,HUNTSMAN,NA,Arachnida
rodentia,sp.,NA,NA,NA,NA,Mammalia
ryssota,lamarckiana,NA,NA,SHELL,NA,Gastropoda
ryssota,ovum,NA,NA,SHELL,NA,Gastropoda
ryssota,sp.,NA,NA,SHELL,NA,Gastropoda
sabellidae,sp.,NA,NA,NA,NA,Polychaeta
scapharca,sp.,NA,NA,CLAM,NA,Bivalvia
scarabaeidae,sp.,NA,NA,NA,NA,Insecta
schizocarpus,faini,NA,NA,NA,NA,Arachnida
schizocarpus,testiculatus,NA,NA,NA,NA,Arachnida
schoutedenella,sp.,NA,SCREECHING,FROG,NA,Amphibia
scleractinia,sp.,NA,NA,NA,NA,Anthozoa
scorpaenidae,sp.,NA,NA,NA,NA,Actinopterygii
serpentes,sp.,NA,NA,NA,NA,Reptilia
sicydium,sp.,NA,NA,GOBY,NA,Actinopterygii
siluriformes,sp.,NA,NA,NA,NA,Actinopterygii
spermestes,cucullata,NA,NA,NA,NA,Aves
spheniscinae,sp.,NA,NA,NA,NA,Aves
spreo,sp.,NA,NA,STARLING,NA,Aves
spreo,superbus,NA,NA,NA,NA,Aves
staphylinidae,sp.,NA,NA,NA,NA,Insecta
stenonycteris,lanosus,NA,NA,NA,NA,Mammalia
stenophis,sp.,NA,TREE,SNAKE,NA,Reptilia
stizostedion,sp.,NA,NA,PIKE,NA,Actinopterygii
streblidae,sp.,NA,NA,NA,NA,Insecta
stylocellus,sp.,NA,NA,STYLOCELLUS,NA,Arachnida
sulculus,diversicolor,NA,NA,NA,NA,Gastropoda
sulculus,diversicolor,NA,NA,ABALONE,NA,Gastropoda
tadpole,sp. 1,NA,NA,NA,NA,Amphibia
tadpole,sp. 10,NA,NA,NA,NA,Amphibia
tadpole,sp. 11,NA,NA,NA,NA,Amphibia
tadpole,sp. 2,NA,NA,NA,NA,Amphibia
tadpole,sp. 3,NA,NA,NA,NA,Amphibia
tadpole,sp. 4,NA,NA,NA,NA,Amphibia
tadpole,sp. 5,NA,NA,NA,NA,Amphibia
tadpole,sp. 6,NA,NA,NA,NA,Amphibia
tadpole,sp. 7,NA,NA,NA,NA,Amphibia
tadpole,sp. 8,NA,NA,NA,NA,Amphibia
tadpole,sp. 9,NA,NA,NA,NA,Amphibia
taenotriccus,andrei,NA,NA,NA,NA,Aves
talpidae,sp.,NA,NA,NA,NA,Mammalia
tarphonomus,harterti,NA,NA,NA,NA,Aves
teleostei,sp.,NA,NA,NA,NA,Actinopterygii
tenebrionidae,sp.,NA,NA,NA,NA,Insecta
terebellidae,sp.,NA,NA,NA,NA,Polychaeta
teretristis,fernandina,NA,NA,NA,NA,Aves
teuthida,sp.,NA,NA,NA,NA,Cephalopoda
theraphosinae,cuzco,NA,NA,NA,NA,Arachnida
theraphosinae,panama,NA,NA,NA,NA,Arachnida
theridiidae,sp.,NA,NA,NA,NA,Arachnida
thraupidae,sp.,NA,NA,NA,NA,Aves
thysanoptera,sp.,NA,NA,NA,NA,Insecta
tirumala,limniace,NA,BLUE TIGER,BUTTERFLY,NA,Insecta
trochozonites,sp.,NA,NA,SHELL,NA,Gastropoda
tropical fish,(marine sp.),NA,NA,NA,NA,Actinopterygii
tropical fish,(marine sp.),egg,NA,NA,NA,Actinopterygii
truncatellidae,sp.,NA,NA,NA,NA,Gastropoda
trygon,sp.,NA,NA,RAY,NA,Elasmobranchii
uniandra,contradens,NA,NA,NA,NA,Bivalvia
unknown,mammalian,NA,NA,NA,NA,Mammalia
unknown,sp.,NA,NA,NA,NA,NA
verongida,sp.,NA,NA,NA,NA,Demospongiae
xancus,sp.,NA,NA,CHANK,NA,Gastropoda
xenobatrachus,sp.,NA,FANGED,FROG,NA,Amphibia
yersinia,sp.,NA,NA,NA,NA,Gammaproteobacteria
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,TROPICAL,HARDWOOD,NA,NA
