control_number,species_code,genus,species,subspecies,specific_name,generic_name,wildlife_description,quantity,unit,value,country_origin_iso2c,country_imp_exp_iso2c,purpose,source_,action,disposition,disposition_date,shipment_date,import_export,port,us_co,foreign_co,file_num,description,country_origin,country_imp_exp,source
2013310466,ORIB,ourebia,ourebi,NA,NA,ORIBI,TRO,1,NO,NA,TZ,TZ,H,W,C,C,7/18/13,7/2/13,I,HN,BRUSH COUNTRY STUDIOS,TANZANIA BIG GAME SAFARIS LTD,1,TRO,TZ,TZ,W
2013310466,PANP,panthera,pardus,NA,NA,LEOPARD,TRO,1,NO,NA,TZ,TZ,H,W,C,C,7/18/13,7/2/13,I,HN,BRUSH COUNTRY STUDIOS,TANZANIA BIG GAME SAFARIS LTD,1,TRO,TZ,TZ,W
2013310466,RERE,redunca,redunca,NA,COMMON,REEDBUCK,TRO,1,NO,NA,TZ,TZ,H,W,C,C,7/18/13,7/2/13,I,HN,BRUSH COUNTRY STUDIOS,TANZANIA BIG GAME SAFARIS LTD,1,TRO,TZ,TZ,W
2013310466,WATE,kobus,ellipsiprymnus,NA,NA,WATERBUCK,TRO,2,NO,NA,TZ,TZ,H,W,C,C,7/18/13,7/2/13,I,HN,BRUSH COUNTRY STUDIOS,TANZANIA BIG GAME SAFARIS LTD,1,TRO,TZ,TZ,W
2013310466,WHOG,phacochoerus,aethiopicus,NA,DESERT,WARTHOG,TRO,1,NO,NA,TZ,TZ,H,W,C,C,7/18/13,7/2/13,I,HN,BRUSH COUNTRY STUDIOS,TANZANIA BIG GAME SAFARIS LTD,1,TRO,TZ,TZ,W
2013310493,AAER,alces,americanus,NA,NA,MOOSE,HOR,2,NO,NA,US,CA,P,W,C,C,6/24/13,6/24/13,I,SW,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,HOR,US,CA,W
2013310613,AAER,alces,americanus,NA,NA,MOOSE,HOR,1,NO,NA,CA,CA,H,W,C,C,6/5/13,6/5/13,I,SW,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,HOR,CA,CA,W
2013311404,CY0?,crocodylus,species,NA,NA,CROCODILE,LPS,1,NO,NA,XX,SG,T,W,R,R,7/17/13,6/22/13,I,ME,EXEMPTIONS 6 AND 7(C),AZIMUTH WATCH COMPANY PTE LTD,1,LPS,XX,SG,W
2013311419,FECA,caracal,caracal,NA,NA,CARACAL,TRO,1,NO,NA,ZA,ZA,H,C,C,C,7/19/13,7/4/13,I,NY,EXEMPTIONS 6 AND 7(C),TROPHY SOLUTIONS OF AFRICA,1,TRO,ZA,ZA,C
2013311941,ELE#,elephantidae,NA,NA,NA,ELEPHANTS,IVC,1,NO,NA,XX,AR,T,U,R,S,7/15/13,7/15/13,I,MI,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,IVC,XX,AR,U
2013311968,NONS,noncites entry,NA,NA,NA,MOLLUSCS,SPR,1,NO,NA,PH,PH,P,W,R,A,7/19/13,7/19/13,I,CH,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,SPR,PH,PH,W
2013312032,BLBE,ursus,americanus,NA,AMERICAN BLACK,BEAR,BON,1,NO,NA,CA,CA,H,W,C,C,6/28/13,6/5/13,I,6,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,BON,CA,CA,W
