control_number,species_code,genus,species,subspecies,specific_name,generic_name,wildlife_description,quantity,unit,value,country_origin_iso2c,country_imp_exp_iso2c,purpose,source_,action,disposition,disposition_date,shipment_date,import_export,port,us_co,foreign_co,file_num,description,country_origin,country_imp_exp,source
2013290958,NONA,noncites entry,NA,NA,NA,AMPHIBIANS,BOD,600,GM,NA,TH,TH,P,W,R,S,6/11/13,6/7/13,I,SF,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,BOD,TH,TH,W
2013290969,NONA,noncites entry,NA,NA,NA,AMPHIBIANS,BOD,750,GM,NA,LA,LA,P,U,R,S,6/11/13,6/8/13,I,SF,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,BOD,LA,LA,U
2013291353,FECA,caracal,caracal,NA,NA,CARACAL,TRO,1,NO,NA,ZA,ZA,H,W,C,C,6/11/13,6/3/13,I,NY,EXEMPTIONS 6 AND 7(C),AFRICAN SAN TAXIDERMY,1,TRO,ZA,ZA,W
2013292596,BLBE,ursus,americanus,NA,AMERICAN BLACK,BEAR,GAB,1,NO,NA,CA,CA,H,W,R,S,6/13/13,6/8/13,I,CA,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,GAB,CA,CA,W
2013292599,BLBE,ursus,americanus,NA,AMERICAN BLACK,BEAR,GAB,1,NO,NA,CA,CA,H,W,R,S,6/13/13,6/8/13,I,CA,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,GAB,CA,CA,W
2013292603,BLBE,ursus,americanus,NA,AMERICAN BLACK,BEAR,GAB,1,NO,NA,CA,CA,H,W,R,S,6/13/13,6/8/13,I,CA,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,GAB,CA,CA,W
2013292932,CARI,rangifer,tarandus,NA,NA,REINDEER,HOR,4,NO,NA,CA,CA,P,W,C,C,8/8/13,6/11/13,I,SF,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,HOR,CA,CA,W
2013293741,NONI,noncites entry,NA,NA,NA,INSECTS,BOD,1660,GM,NA,LA,LA,P,U,R,S,6/13/13,6/13/13,I,SF,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,BOD,LA,LA,U
2013294700,HBES,alcelaphus,buselaphus,NA,NA,HARTEBEEST,TRO,1,NO,NA,ZA,ZA,H,W,C,C,6/18/13,6/13/13,I,MI,EXEMPTIONS 6 AND 7(C),BULL'S EYE TAXIDERMY,1,TRO,ZA,ZA,W
2013295677,PXBC,prionailurus,bengalensis,x felis catus,HYBRID,LEOPARD CAT,LIV,800,NO,NA,CA,CA,T,O,C,C,6/19/13,6/19/13,I,BL,EXEMPTIONS 6 AND 7(C),DAZZLEDOTS BENGALS,1,LIV,CA,CA,O
2013296738,AAER,alces,americanus,NA,NA,MOOSE,BOC,15.2,KG,NA,US,ID,T,W,C,C,6/20/13,6/19/13,I,SF,EXEMPTIONS 6 AND 7(C),LEE DOWNEY C/O PT KAWI RAJA,1,BOC,US,ID,W
2013296952,FECA,caracal,caracal,NA,NA,CARACAL,TRO,1,NO,NA,ZA,ZA,H,W,C,C,6/21/13,6/12/13,I,NY,EXEMPTIONS 6 AND 7(C),KARL HUMAN TAXIDERMY,1,TRO,ZA,ZA,W
2013298242,LOAF,loxodonta,africana,NA,AFRICAN,ELEPHANT,IJW,8,NO,NA,XX,XX,P,W,R,S,6/23/13,6/23/13,I,DF,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,IJW,XX,XX,W
2013298525,AAER,alces,americanus,NA,NA,MOOSE,TRO,1,NO,NA,CA,CA,H,W,C,C,6/25/13,6/19/13,I,PB,EXEMPTIONS 6 AND 7(C),NORTHLAND TAXIDERMY,1,TRO,CA,CA,W
2013298617,NA,NA,NA,NA,NA,NA,SPE,15,NO,0,TH,TH,S,W,C,C,6/25/13,6/11/13,I,AT,NORTH CAROLINA MUSEUM OF NATURAL SCIENCES,NA,5,SPE,TH,TH,W
2013298729,AAER,alces,americanus,NA,NA,MOOSE,HOC,110,NO,NA,US,ID,T,W,C,C,6/25/13,6/25/13,I,BA,EXEMPTIONS 6 AND 7(C),WULAN BALI JAYA,1,HOC,US,ID,W
2013298842,HIAM,hippopotamus,amphibius,NA,COMMON,HIPPOPOTAMUS,TRO,1,NO,NA,ZM,ZM,H,W,C,C,6/25/13,6/14/13,I,AT,EXEMPTIONS 6 AND 7(C),VAN STADEN SAFARIS,1,TRO,ZM,ZM,W
2013299176,LOXA,loxodonta,africana,NA,AFRICAN,ELEPHANT,IVC,11,NO,NA,XX,FR,P,O,C,C,6/26/13,6/12/13,I,MI,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,IVC,XX,FR,O
2013299176,ODRO,odobenus,rosmarus,NA,NA,WALRUS,IVC,8,NO,NA,XX,FR,P,O,C,C,6/26/13,6/12/13,I,MI,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,IVC,XX,FR,O
2013299497,NA,grosphus,limbetus,NA,NA,NA,LIV,200,NO,NA,MG,MG,T,W,C,C,6/26/13,6/26/13,I,MI,EXEMPTIONS 6 AND 7(C),ETS RREPTILIAA,1,LIV,MG,MG,W
2013300601,EL00,elephantidae,NA,NA,NA,ALL ELEPHANTS,LPS,1,NO,NA,XX,ID,P,W,R,S,6/25/13,6/25/13,I,LA,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,LPS,XX,ID,W
2013300763,PANP,panthera,pardus,NA,NA,LEOPARD,TRO,1,NO,NA,MZ,MZ,H,W,C,C,6/28/13,6/18/13,I,DF,EXEMPTIONS 6 AND 7(C),TROPHY EXPORTS MOZAMBIQUE,1,TRO,MZ,MZ,W
2013301326,AAER,alces,americanus,NA,NA,MOOSE,MEA,2,LB,NA,CA,CA,P,W,R,R,6/30/13,6/30/13,I,SW,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,MEA,CA,CA,W
2013301514,ABUF,syncerus,caffer,NA,AFRICAN,BUFFALO,TRO,1,NO,NA,TZ,TZ,H,W,C,C,7/1/13,6/3/13,I,DF,EXEMPTIONS 6 AND 7(C),TANZANIA WILDLIFE COMPANY 2000 LTD,1,TRO,TZ,TZ,W
2013301514,ELAN,taurotragus,oryx,NA,COMMON,ELAND,TRO,1,NO,NA,TZ,TZ,H,W,C,C,7/1/13,6/3/13,I,DF,EXEMPTIONS 6 AND 7(C),TANZANIA WILDLIFE COMPANY 2000 LTD,1,TRO,TZ,TZ,W
2013301514,GRKU,tragelaphus,strepsiceros,NA,GREATER,KUDU,TRO,1,NO,NA,TZ,TZ,H,W,C,C,7/1/13,6/3/13,I,DF,EXEMPTIONS 6 AND 7(C),TANZANIA WILDLIFE COMPANY 2000 LTD,1,TRO,TZ,TZ,W
2013301514,HBES,alcelaphus,buselaphus,NA,NA,HARTEBEEST,TRO,1,NO,NA,TZ,TZ,H,W,C,C,7/1/13,6/3/13,I,DF,EXEMPTIONS 6 AND 7(C),TANZANIA WILDLIFE COMPANY 2000 LTD,1,TRO,TZ,TZ,W
2013301514,HIPN,hippotragus,niger,NA,SABLE,ANTELOPE,TRO,1,NO,NA,TZ,TZ,H,W,C,C,7/1/13,6/3/13,I,DF,EXEMPTIONS 6 AND 7(C),TANZANIA WILDLIFE COMPANY 2000 LTD,1,TRO,TZ,TZ,W
2013301514,PANP,panthera,pardus,NA,NA,LEOPARD,TRO,1,NO,NA,TZ,TZ,H,W,C,C,7/1/13,6/3/13,I,DF,EXEMPTIONS 6 AND 7(C),TANZANIA WILDLIFE COMPANY 2000 LTD,1,TRO,TZ,TZ,W
2013301514,RERE,redunca,redunca,NA,COMMON,REEDBUCK,TRO,1,NO,NA,TZ,TZ,H,W,C,C,7/1/13,6/3/13,I,DF,EXEMPTIONS 6 AND 7(C),TANZANIA WILDLIFE COMPANY 2000 LTD,1,TRO,TZ,TZ,W
2013301514,SHYA,crocuta,crocuta,NA,SPOTTED,HYAENA,TRO,1,NO,NA,TZ,TZ,H,W,C,C,7/1/13,6/3/13,I,DF,EXEMPTIONS 6 AND 7(C),TANZANIA WILDLIFE COMPANY 2000 LTD,1,TRO,TZ,TZ,W
2013301514,ZEBR,equus,burchellii,NA,BURCHELL'S,ZEBRA,TRO,1,NO,NA,TZ,TZ,H,W,C,C,7/1/13,6/3/13,I,DF,EXEMPTIONS 6 AND 7(C),TANZANIA WILDLIFE COMPANY 2000 LTD,1,TRO,TZ,TZ,W
2013301942,AAER,alces,americanus,NA,NA,MOOSE,TRO,1,NO,NA,CA,CA,H,W,C,C,7/2/13,6/18/13,I,PB,EXEMPTIONS 6 AND 7(C),MAJESTIC MOUNTS,1,TRO,CA,CA,W
2013301943,AAER,alces,americanus,NA,NA,MOOSE,TRO,1,NO,NA,CA,CA,H,W,C,C,7/2/13,6/18/13,I,PB,EXEMPTIONS 6 AND 7(C),MAJESTIC MOUNTS,1,TRO,CA,CA,W
2013302084,NA,hydrocyon,species,NA,NA,NA,TRO,2,NO,NA,ZW,ZW,H,W,R,R,7/2/13,6/25/13,I,SE,EXEMPTIONS 6 AND 7(C),MATABELELAND TAXIDERMY,1,TRO,ZW,ZW,W
2013302427,ACRO,acropora,species,NA,STAGHORN,CORAL,COR,100,NO,NA,ID,ID,T,C,C,C,7/2/13,6/26/13,I,NY,EXEMPTIONS 6 AND 7(C),CV. BALI AQUARIUM,1,COR,ID,ID,C
2013302427,CACU,caulastraea,curvata,NA,TORCH,CORAL,COR,5,NO,NA,ID,ID,T,C,C,C,7/2/13,6/26/13,I,NY,EXEMPTIONS 6 AND 7(C),CV. BALI AQUARIUM,1,COR,ID,ID,C
2013302427,ECH?,echinophyllia,species,NA,NA,CORAL,COR,20,NO,NA,ID,ID,T,C,C,C,7/2/13,6/26/13,I,NY,EXEMPTIONS 6 AND 7(C),CV. BALI AQUARIUM,1,COR,ID,ID,C
2013302427,EUGL,euphyllia,glabrescens,NA,TRUMPET,CORAL,COR,5,NO,NA,ID,ID,T,C,C,C,7/2/13,6/26/13,I,NY,EXEMPTIONS 6 AND 7(C),CV. BALI AQUARIUM,1,COR,ID,ID,C
2013302427,GAFA,galaxea,fascicularis,NA,CRYSTAL,CORAL,COR,5,NO,NA,ID,ID,T,C,C,C,7/2/13,6/26/13,I,NY,EXEMPTIONS 6 AND 7(C),CV. BALI AQUARIUM,1,COR,ID,ID,C
2013302427,HYRI,hydnophora,rigida,NA,HORN,CORAL,COR,1,NO,NA,ID,ID,T,C,C,C,7/2/13,6/26/13,I,NY,EXEMPTIONS 6 AND 7(C),CV. BALI AQUARIUM,1,COR,ID,ID,C
2013302427,MOP?,montipora,species,NA,NA,CORAL,COR,10,NO,NA,ID,ID,T,C,C,C,7/2/13,6/26/13,I,NY,EXEMPTIONS 6 AND 7(C),CV. BALI AQUARIUM,1,COR,ID,ID,C
2013302427,POCY,porites,cylindrica,NA,BRANCHING,CORAL,COR,2,NO,NA,ID,ID,T,C,C,C,7/2/13,6/26/13,I,NY,EXEMPTIONS 6 AND 7(C),CV. BALI AQUARIUM,1,COR,ID,ID,C
2013302427,STPI,stylophora,pistillata,NA,CLUSTER,CORAL,COR,1,NO,NA,ID,ID,T,C,C,C,7/2/13,6/26/13,I,NY,EXEMPTIONS 6 AND 7(C),CV. BALI AQUARIUM,1,COR,ID,ID,C
2013302427,TUN?,turbinaria,species,NA,STONY,CORAL,COR,5,NO,NA,ID,ID,T,C,C,C,7/2/13,6/26/13,I,NY,EXEMPTIONS 6 AND 7(C),CV. BALI AQUARIUM,1,COR,ID,ID,C
2013302442,CROZ,crocodylus,niloticus,NA,NILE,CROCODILE,TRI,6,NO,NA,ZA,ZA,T,C,R,S,7/2/13,6/29/13,I,AT,MOOMOO DESIGNS,CHIMPEL,1,TRI,ZA,ZA,C
2013302442,CROZ,crocodylus,niloticus,NA,NILE,CROCODILE,LPS,19,NO,NA,ZA,ZA,T,C,R,S,7/2/13,6/29/13,I,AT,MOOMOO DESIGNS,CHIMPEL,1,LPS,ZA,ZA,C
2013302442,CROZ,crocodylus,niloticus,NA,NILE,CROCODILE,TRI,6,NO,NA,ZA,ZA,T,C,R,S,6/30/13,6/29/13,I,AT,MOOMOO DESIGNS,CHIMPEL,1,TRI,ZA,ZA,C
2013302442,STCA,struthio,camelus,NA,SOUTHERN AFRICAN,OSTRICH,LPS,12,NO,NA,ZA,ZA,T,C,R,S,7/2/13,6/29/13,I,AT,MOOMOO DESIGNS,CHIMPEL,1,LPS,ZA,ZA,C
2013302852,MUD?,moschus,species,NA,MUSK,DEER,MED,5,NO,NA,CN,VN,P,W,R,A,7/3/13,7/3/13,I,AT,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,MED,CN,VN,W
2013302852,PANT,panthera,tigris,NA,NA,TIGER,TEE,1,NO,NA,VN,VN,P,W,R,A,7/3/13,7/3/13,I,AT,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,TEE,VN,VN,W
2013303254,AAER,alces,americanus,NA,NA,MOOSE,TRO,1,NO,NA,CA,CA,H,W,C,C,7/5/13,7/4/13,I,SW,EXEMPTIONS 6 AND 7(C),WILDLIFE DESIGNS,1,TRO,CA,CA,W
2013303414,MOLL,NA,NA,NA,SHELLS,MOLLUSCS,BOD,200,NO,NA,XX,CN,T,W,C,C,7/5/13,7/1/13,I,AN,FISHING FOR PEARLS,WARDMON ZHANG,1,BOD,XX,CN,W
2013303581,ODRO,odobenus,rosmarus,NA,NA,WALRUS,CAR,1,NO,NA,XX,FR,P,O,C,C,7/5/13,7/2/13,I,DF,EXEMPTIONS 6 AND 7(C),GALERIE MEYER OCEANIC ART,1,CAR,XX,FR,O
2013304080,NA,idiothele,mira,NA,NA,NA,LIV,65,NO,NA,DE,DE,T,C,C,C,7/8/13,7/8/13,I,LA,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,LIV,DE,DE,C
2013304080,NA,pelinobius,muticus,NA,NA,NA,LIV,1,NO,NA,DE,DE,T,C,C,C,7/8/13,7/8/13,I,LA,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,LIV,DE,DE,C
2013305163,ELKK,cervus,elaphus,NA,NA,ELK,SKU,4,NO,NA,SK,SK,P,O,C,C,7/9/13,7/7/13,I,NW,EXEMPTIONS 6 AND 7(C),DOMINIK IMRICH,1,SKU,SK,SK,O
2013305523,SELT,ursus,thibetanus,NA,ASIAN BLACK,BEAR,MED,24,NO,NA,CN,XX,T,W,R,S,6/13/13,6/12/13,I,LA,EXEMPTIONS 6 AND 7(C),EXEMPTIONS 6 AND 7(C),1,MED,CN,XX,W
2013306175,ELEM,elephas,maximus,NA,ASIAN,ELEPHANT,IVC,32,NO,NA,XX,GB,T,O,C,C,7/10/13,7/3/13,I,NY,EXEMPTIONS 6 AND 7(C),FOCUS PACKING SERVICES LIMITED,1,IVC,XX,GB,O
2013306175,ELEM,elephas,maximus,NA,ASIAN,ELEPHANT,IVC,32,NO,NA,XX,GB,T,O,C,C,7/10/13,7/3/13,I,NY,EXEMPTIONS 6 AND 7(C),FOCUS PACKING SERVICES LIMITED,1,IVC,XX,GB,O
2013306193,AAER,alces,americanus,NA,NA,MOOSE,HAI,4452,NO,NA,US,KI,T,W,C,C,7/10/13,7/10/13,I,ME,EXEMPTIONS 6 AND 7(C),ANGLER TROUT FLIES,1,HAI,US,KI,W
2013306830,HCRR,haliotis,corrugata,NA,PINK,ABALONE,SPR,1,NO,NA,US,CA,P,O,C,C,7/11/13,7/10/13,I,ME,EXEMPTIONS 6 AND 7(C),TWELFTH FRET,1,SPR,US,CA,O
2013307308,GRTE,anas,crecca,NA,GREEN-WINGED,TEAL,TRO,1,NO,NA,PE,PE,H,W,C,C,7/12/13,7/6/13,I,AT,EXEMPTIONS 6 AND 7(C),GONZALO PAREDES PALACIOS,1,TRO,PE,PE,W
