genus,species,subspecies,specific_name,generic_name,new_genus,new_species,new_subspecies,new_specific_name,new_generic_name
citharichthy,gilberti,flatfish,,,citharichthys,gilberti,,,FLATFISH
class,holothuroidea,,,,holothuroidea,sp.,,,
clypeasterophilis,sp.,,,,clypeasterophilus,sp.,,,
coenobita clipeatu,coenobita clipeatu,,,,coenobita,clypeatus,,,
conchelepes,conchelepes,,,CRUSTACEAN,concholepas,concholepas,,,CRUSTACEAN
conchelepes,conchelepes,,,SHELL,concholepas,concholepas,,,SHELL
crassotrea,gigas,,JAPONESE,OYSTER,crassostrea,gigas,,JAPANESE,OYSTER
crassotrea,sp.,,,OYSTER,crassostrea,sp.,,,OYSTER
dalatius,licha,,DARKIE,CHARLIE,dalatias,licha,,DARKIE,CHARLIE
dendrosophus,sp.,,,,dendropsophus,sp.,,,
deroptryus,accipitrinus,,,,deroptyus,accipitrinus,,,
desypeltis,scabra,,,,dasypeltis,scabra,,,
dimidochromis,kiwinge,,,,dimidiochromis,kiwinge,,,
donocobius,atricapilla,,,,donacobius,atricapilla,,,
dryas,julia,,,BUTTERFLY,dryas,iulia,,,BUTTERFLY
drymobius rhombife,blotched racer,,,,drymobius,rhombifer,,BLOTCHED,RACER
dumetilla,carolinensis,,,,dumetella,carolinensis,,,
duplicana,terebra,,,,terebra,duplicata,,,
eagles,sp.,,BALD AND GOLDEN,EAGLES,accipitridae,sp.,,BALD AND GOLDEN,EAGLES
echinotrix,calamaris,,BANDED SEA,URCHIN,echinothrix,calamaris,,BANDED SEA,URCHIN
echinotrix,sp.,,SEA,URCHIN,echinothrix,sp.,,SEA,URCHIN
eglantini,cowrie,,,,mauritia,eglantina,,,
elacatinos,puncticulatus,,,,elacatinus,puncticulatus,,,
elaphidae,sp.,,,,elapidae,sp.,,,
enophryx,bison,,,FISH,enophrys,bison,,,FISH
eublepharus,angramainyu,,IRAQUI EYELID,GECKO,eublepharis,angramainyu,,IRAQI EYELID,GECKO
eublepharus,hardwickii,,HARDWICKE'S,GECKO,eublepharis,hardwickii,,HARDWICKE'S,GECKO
eublepharus,macularius,,PANTHER,GECKO,eublepharis,macularius,,PANTHER,GECKO
eublepharus,sp.,,EYELID,GECKO,eublepharis,sp.,,EYELID,GECKO
flexipecten,glaber,,,SHELL,flexopecten,glaber,,,SHELL
gallus,domesticus,,DOMESTIC,CHICKEN,gallus,gallus,domesticus,DOMESTIC,CHICKEN
gasteracantha sp,gasteracantha,,,,gasteracantha,sp.,,,
gazelli,grantii,,,,gazella,granti,,,
geopahgus,gymnogenys,,,,geophagus,gymnogenys,,,
geothylpis,trichas,,,,geothlypis,trichas,,,
geotrogon,chrysia,,,,geotrygon,chrysia,,,
gercacinus,ruricola,,,,gecarcinus,ruricola,,,
gloriamari,chemnitz,,,,conus,gloriamari,,,
glossinia,austeni,,,,glossina,austeni,,,
glossinia,brevipalpis,,,,glossina,brevipalpis,,,
glyphis,carcharhinidae,,,,glyphis,sp.,,,
glyphorhynchus,spirurus,,WEDGE-BILLED,WOODCREEPER,glyphorynchus,spirurus,,WEDGE-BILLED,WOODCREEPER
glyphorhynchus,spirurus,,,,glyphorynchus,spirurus,,,
glyphorhynchus,sprurus,,,,glyphorynchus,spirurus,,,
gofingia,sp.,,,,golfingia,sp.,,,
goniplectrus,hispanus,,,,gonioplectrus,hispanus,,,
gradus,mortua,,,,gadus,morhua,,,
gymnophagus,balzani,,,,gymnogeophagus,balzanii,,,
helicopsis,sp.,,,BUTTERFLY,helicopis,sp.,,,BUTTERFLY
hottentata,spec,,,,hottentotta,sp.,,,
hybsiboas,heilprini,,,,hypsiboas,heilprini,,,
hydantina,physis,,,,hydatina,physis,,,
hydriopsis,schlegeli,,,,hyriopsis,schlegeli,,,
hydrocinus,sp.,,,FISH,hydrocynus,sp.,,,FISH
hydrocinus,vittatus,,,TIGERFISH,hydrocynus,vittatus,,,TIGERFISH
hydrocyon,sp.,,,,hydrocynus,sp.,,,
hydrolagus sp,affinis,,,,hydrolagus,affinis,,,
hylaemys,megacephalus,,,,hylaeamys,megacephalus,,,
hyleamys,yunganus,,,,hylaeamys,yunganus,,,
