genus,species,subspecies,specific_name,generic_name,new_genus,new_species,new_subspecies,new_specific_name,new_generic_name
hyloscutis,palmeri,,,,hyloscirtus,palmeri,,,
hymenoptera,formicidae,,,,formicidae,sp.,,,
hypolymnas,bolina,,COMMON,EGGFLY,hypolimnas,bolina,,COMMON,EGGFLY
hypolymnas,dexithea,,,BUTTERFLY,hypolimnas,dexithea,,,BUTTERFLY
hypolymnas,mysippus,,,BUTTERFLY,hypolimnas,mysippus,,,BUTTERFLY
hypolymnas,sp.,,,BUTTERFLY,hypolimnas,sp.,,,BUTTERFLY
hypolysmata,grabhami,,,MACRURAN,hippolysmata,grabhami,,,MACRURAN
insecta,dermaptera,,,,dermaptera,sp.,,,
insecta,hymenoptera,,,,hymenoptera,sp.,,,
insecta,neuroptera,,,,neuroptera,sp.,,,
insecta,odonata,,,,odonata,sp.,,,
insecta,orthoptera,,,,orthoptera,sp.,,,
irsinia,fasciculata,,,,ircinia,fasciculata,,,
isisdidae,lepidisis,,,,isididae,sp.,,,
isisidae,sp.,,,,isididae,sp.,,,
jabonilleria,danjoui,,,,jabouilleia,danjoui,,,
jennesia,lineata,,,,jenynsia,lineata,,,
jennesia,orca,,,,jenynsia,onca,,,
jenysia,sp.,,,,jenynsia,sp.,,,
lamellibranch,sp.,,,,bivalvia,sp.,,,
lamellidus,corrianus,,,,lamellidens,corrianus,,,
lampropela,rothschildi,,,,lampropelma,rothschildi,,,
lavigeria,mollusc,,,,lavigeria,sp.,,,
lebbius,grandimanus,,,,lebbeus,grandimanus,,,
lebruna,danae,,,,lebrunia,danae,,,
leirurus,jordanensis,,,,leiurus,jordanensis,,,
leirurus,quinquestriatus,,,,leiurus,quinquestriatus,,,
lemnallia,sp.,,TREE,CORAL,lemnalia,sp.,,TREE,CORAL
lepidocephalichthy,hasselti,,,LOACH,lepidocephalichthys,hasselti,,,LOACH
lepidocephalichthy,sp.,,,LOACH,lepidocephalichthys,sp.,,,LOACH
limalima,vulgaris,,,,lima,vulgaris,,,
liophus,cobella,,S. AMERICAN GROUND,SNAKE,liophis,cobella,,S. AMERICAN GROUND,SNAKE
liophus,frenata,,COMMON GROUND,SNAKE,liophis,frenata,,COMMON GROUND,SNAKE
liophus,juliae,,,,liophis,juliae,,,
liophus,poecilogyrus,,WIED'S GROUND,SNAKE,liophis,poecilogyrus,,WIED'S GROUND,SNAKE
liophus,reginae,,ROYAL GROUND,SNAKE,liophis,reginae,,ROYAL GROUND,SNAKE
liophus,sp.,,GROUND,SNAKE,liophis,sp.,,GROUND,SNAKE
liophus,typhlus,,BLIND GROUND,SNAKE,liophis,typhlus,,BLIND GROUND,SNAKE
loboparadisaea,sericea,,YELLOW-BREASTED,BIRD OF PARADISE,loboparadisea,sericea,,YELLOW-BREASTED,BIRD OF PARADISE
loboparadisaea,sericea,,YELLOW-BREASTED,CNEMOPHILUS,loboparadisea,sericea,,YELLOW-BREASTED,CNEMOPHILUS
lophoaetus,occipitalis,,LONG-CRESTED,EAGLE,lophaetus,occipitalis,,LONG-CRESTED,EAGLE
macronous,gularis,,STRIPED,TIT-BABBLER,macronus,gularis,,STRIPED,TIT-BABBLER
macronous,ptilosus,,FLUFFY-BACKED,TIT-BABBLER,macronus,ptilosus,,FLUFFY-BACKED,TIT-BABBLER
macronous,sp.,,,TIT-BABBLER,macronus,sp.,,,TIT-BABBLER
melagrina,margaritifera,,,OYSTER,meleagrina,margaritifera,,,OYSTER
melagrina,margaritifera,,,SHELL,meleagrina,margaritifera,,,SHELL
melagrina,sp.,,,OYSTER,meleagrina,sp.,,,OYSTER
melagrina,sp.,,,SHELL,meleagrina,sp.,,,SHELL
melithea,sp.,,,CORAL,melithaea,sp.,,,CORAL
melithea,sp.,,,SEA FAN,melithaea,sp.,,,SEA FAN
microbrachium,sp.,,,MACRURAN,macrobrachium,sp.,,,MACRURAN
microbrachium,sp.,,,SHRIMP,macrobrachium,sp.,,,SHRIMP
molluscs,pinne vexillum,,,,pinna,vexillum,,,
molluscs,sp.,,,,mollusca,sp.,,,
monocentrophus,balfouri,,,,monocentropus,balfouri,,,
montastrea,annularis,,BOULDER STAR,CORAL,montastraea,annularis,,BOULDER STAR,CORAL
montastrea,annularis,,BRAIN,CORAL,montastraea,annularis,,BRAIN,CORAL
montastrea,annuligera,,BRAIN,CORAL,montastraea,annuligera,,BRAIN,CORAL
montastrea,cavernosa,,CAVERNOUS STAR,CORAL,montastraea,cavernosa,,CAVERNOUS STAR,CORAL
montastrea,curta,,BRAIN,CORAL,montastraea,curta,,BRAIN,CORAL
