continent,country_name,iso3c,taxa,year,n_by_country_taxa,n_by_country,centroid_lon,centroid_lat
Oceania,Guam,GUM,Bird,2003,1,7,144.707,13.385
Europe,Belgium,BEL,Other,2003,4,362,4.664,50.643
Africa,Botswana,BWA,Bird,2003,45,905,23.815,-22.182
Africa,Egypt,EGY,Reptile,2003,274,444,30,27
Americas,Panama,PAN,Spider,2003,1,228,-80.92,8.384
Oceania,Solomon Islands,SLB,Insect,2003,41,2278,159,-8
Europe,Hungary,HUN,Mammal,2003,26,41,20,47
Americas,Uruguay,URY,Fish,2003,10,259,-56.012,-32.8
Africa,Cameroon,CMR,Shell,2003,4,240,12,6
Europe,Bulgaria,BGR,Reptile,2003,3,44,25,43
Americas,Nicaragua,NIC,Bird,2003,11,627,-85,13
Americas,Venezuela,VEN,Reptile,2003,16,78,-66.166,7.125
Americas,Belize,BLZ,Coral,2003,19,264,-88.602,17.219
Americas,Panama,PAN,Mammal,2003,13,228,-80.92,8.384
Asia,Thailand,THA,Echinoderms,2003,4,11804,100.844,15.7
Europe,Denmark,DNK,Reptile,2003,14,161,10,56
Americas,Brazil,BRA,Shell,2003,32,1367,-53.089,-10.772
Africa,Ethiopia,ETH,Reptile,2003,17,198,39.616,8.626
Asia,Georgia,GEO,Reptile,2003,6,37,43.518,42.176
Asia,Georgia,GEO,Spider,2003,1,37,43.518,42.176
Europe,Russia,RUS,Other,2003,14,747,100,60
Africa,Guinea,GIN,Reptile,2003,2,16,-10,11
Africa,Guinea,GIN,Spider,2003,1,16,-10,11
Americas,Colombia,COL,Bird,2003,12,1395,-73.076,3.9
Americas,Bolivia,BOL,Crustacean,2003,1,19,-64.671,-16.715
Europe,Netherlands,NLD,Insect,2003,1,197,5.389,52.077
Americas,Guatemala,GTM,Amphibian,2003,11,255,-90.25,15.5
Asia,Taiwan,TWN,Spider,2003,3,3711,120.946,23.754
Africa,Equatorial Guinea,GNQ,Reptile,2003,29,96,10,2
Africa,Equatorial Guinea,GNQ,Spider,2003,3,96,10,2
Americas,Jamaica,JAM,Reptile,2003,3,47,-77.5,18.25
Americas,Jamaica,JAM,Bird,2003,4,47,-77.5,18.25
Americas,Jamaica,JAM,Shell,2003,2,47,-77.5,18.25
Europe,Netherlands,NLD,Amphibian,2003,31,197,5.389,52.077
Europe,Netherlands,NLD,Spider,2003,2,197,5.389,52.077
Asia,Laos,LAO,Reptile,2003,21,76,102.471,19.905
Africa,Cameroon,CMR,Reptile,2003,10,240,12,6
Asia,Singapore,SGP,Mammal,2003,14,2531,103.8,1.36666666667
Asia,Pakistan,PAK,Bird,2003,23,63,70,30
Americas,Costa Rica,CRI,Other,2003,2,899,-83.946,9.971
Africa,Egypt,EGY,Other,2003,9,444,30,27
Africa,Egypt,EGY,Crustacean,2003,7,444,30,27
Oceania,Papua New Guinea,PNG,Coral,2003,1,111,143.459,-5.949
Asia,Hong Kong SAR China,HKG,Echinoderms,2003,3,25293,114.129,22.423
Americas,Belize,BLZ,Bird,2003,48,264,-88.602,17.219
Africa,Egypt,EGY,Mammal,2003,30,444,30,27
Oceania,Solomon Islands,SLB,Reptile,2003,41,2278,159,-8
Africa,Ghana,GHA,Shell,2003,4,878,-1.207,7.96
Africa,South Africa,ZAF,Coral,2003,11,25797,23.121,-30.558
Asia,Philippines,PHL,Plant,2003,4,31015,122,13
Americas,Chile,CHL,Bird,2003,3,130,-71,-30
Americas,Guatemala,GTM,Shell,2003,32,255,-90.25,15.5
Africa,Congo - Kinshasa,COD,Mammal,2003,1,69,25,0.0166666666667
Europe,Iceland,ISL,Fish,2003,46,82,-18,65
Oceania,Vanuatu,VUT,Crustacean,2003,15,219,167,-16
Asia,Kazakhstan,KAZ,Mammal,2003,9,62,67.301,48.16
Europe,Belgium,BEL,Reptile,2003,7,362,4.664,50.643
Europe,France,FRA,Other,2003,13,4480,2,46
Americas,Nicaragua,NIC,Mammal,2003,33,627,-85,13
Africa,Kenya,KEN,Amphibian,2003,1,1691,37.858,0.53
