continent,country_name,iso3c,taxa,year,n_by_country_taxa,n_by_country,centroid_lon,centroid_lat
Europe,Italy,ITA,Shell,2000,938,18826,10.44,44.931
Asia,Hong Kong SAR China,HKG,Fish,2000,983,11883,114.129,22.423
Asia,Hong Kong SAR China,HKG,Crustacean,2000,67,11883,114.129,22.423
Asia,Hong Kong SAR China,HKG,Amphibian,2000,627,11883,114.129,22.423
Europe,Spain,ESP,Mammal,2000,716,3183,-3.649,40.227
Africa,Zimbabwe,ZWE,Mammal,2000,6436,6833,29.872,-19
Europe,Spain,ESP,Fish,2000,10,3183,-3.649,40.227
Asia,Taiwan,TWN,Shell,2000,542,1873,120.946,23.754
Asia,Taiwan,TWN,Coral,2000,322,1873,120.946,23.754
Europe,Italy,ITA,Reptile,2000,11765,18826,10.44,44.931
Asia,South Korea,KOR,Shell,2000,656,1202,128.103,36.504
Asia,Philippines,PHL,Shell,2000,7987,15920,122,13
Asia,Hong Kong SAR China,HKG,Mammal,2000,3558,11883,114.129,22.423
Oceania,New Zealand,NZL,Mammal,2000,1437,1649,174,-41
Europe,Italy,ITA,Mammal,2000,4119,18826,10.44,44.931
Americas,Trinidad & Tobago,TTO,Fish,2000,479,515,-61,11
Asia,Malaysia,MYS,Insect,2000,377,1717,112.5,2.5
Europe,France,FRA,Shell,2000,321,3143,2,46
Asia,China,CHN,Fish,2000,728,3370,105,35
Asia,Indonesia,IDN,Fish,2000,2151,19401,114.252,-0.976
Asia,Indonesia,IDN,Other,2000,1826,19401,114.252,-0.976
Asia,Malaysia,MYS,Fish,2000,461,1717,112.5,2.5
Asia,Thailand,THA,Fish,2000,1895,7317,100.844,15.7
Asia,Thailand,THA,Crustacean,2000,345,7317,100.844,15.7
Asia,Singapore,SGP,Fish,2000,1095,1893,103.8,1.36666666667
Asia,Hong Kong SAR China,HKG,Shell,2000,5145,11883,114.129,22.423
Asia,Philippines,PHL,Bird,2000,105,15920,122,13
Europe,Italy,ITA,Coral,2000,113,18826,10.44,44.931
Americas,Ecuador,ECU,Fish,2000,297,780,-78.497,-1.385
Americas,Ecuador,ECU,Crustacean,2000,135,780,-78.497,-1.385
Americas,Colombia,COL,Fish,2000,1025,1467,-73.076,3.9
Africa,South Africa,ZAF,Bird,2000,984,17413,23.121,-30.558
Americas,Mexico,MEX,Bird,2000,1214,5505,-102,23
Africa,Botswana,BWA,Mammal,2000,739,775,23.815,-22.182
Europe,France,FRA,Bird,2000,302,3143,2,46
Europe,Switzerland,CHE,Shell,2000,1132,6063,7.908,46.861
Asia,Philippines,PHL,Fish,2000,2869,15920,122,13
Asia,Philippines,PHL,Other,2000,2374,15920,122,13
Americas,Dominican Republic,DOM,Amphibian,2000,256,418,-70.6666666667,19
Americas,Mexico,MEX,Reptile,2000,1936,5505,-102,23
Americas,Canada,CAN,Mammal,2000,19775,28047,-95,60
Europe,Italy,ITA,Bird,2000,1621,18826,10.44,44.931
Americas,Guyana,GUY,Fish,2000,230,836,-59,5
Asia,Saudi Arabia,SAU,Fish,2000,166,196,44.585,24.023
Asia,Singapore,SGP,Amphibian,2000,135,1893,103.8,1.36666666667
Asia,Thailand,THA,Other,2000,248,7317,100.844,15.7
Asia,Indonesia,IDN,Coral,2000,11893,19401,114.252,-0.976
Asia,Vietnam,VNM,Reptile,2000,787,1703,105.314,21.491
Asia,Vietnam,VNM,Amphibian,2000,203,1703,105.314,21.491
Asia,Vietnam,VNM,Shell,2000,110,1703,105.314,21.491
Asia,Vietnam,VNM,Insect,2000,12,1703,105.314,21.491
Asia,Philippines,PHL,Crustacean,2000,1479,15920,122,13
Asia,Indonesia,IDN,Shell,2000,682,19401,114.252,-0.976
Asia,Indonesia,IDN,Crustacean,2000,707,19401,114.252,-0.976
Asia,Singapore,SGP,Other,2000,162,1893,103.8,1.36666666667
Asia,China,CHN,Shell,2000,760,3370,105,35
Asia,Japan,JPN,Shell,2000,279,1159,138,36
Asia,China,CHN,Reptile,2000,600,3370,105,35
Asia,China,CHN,Bird,2000,289,3370,105,35
Asia,Indonesia,IDN,Amphibian,2000,395,19401,114.252,-0.976
Asia,Taiwan,TWN,Fish,2000,498,1873,120.946,23.754
Asia,Taiwan,TWN,Crustacean,2000,52,1873,120.946,23.754
Asia,Taiwan,TWN,Amphibian,2000,140,1873,120.946,23.754
Asia,China,CHN,Amphibian,2000,309,3370,105,35
Americas,Canada,CAN,Bird,2000,4711,28047,-95,60
Americas,Canada,CAN,Fish,2000,1548,28047,-95,60
Africa,South Africa,ZAF,Mammal,2000,16121,17413,23.121,-30.558
Americas,Canada,CAN,Shell,2000,728,28047,-95,60
Americas,Mexico,MEX,Mammal,2000,586,5505,-102,23
Asia,Thailand,THA,Reptile,2000,142,7317,100.844,15.7
Americas,Colombia,COL,Reptile,2000,365,1467,-73.076,3.9
Asia,Philippines,PHL,Coral,2000,248,15920,122,13
Europe,Spain,ESP,Reptile,2000,1977,3183,-3.649,40.227
Europe,Spain,ESP,Bird,2000,397,3183,-3.649,40.227
Asia,South Korea,KOR,Crustacean,2000,5,1202,128.103,36.504
Europe,Germany,DEU,Reptile,2000,221,1482,9,51
Asia,Thailand,THA,Shell,2000,3580,7317,100.844,15.7
Europe,United Kingdom,GBR,Reptile,2000,422,3104,-2,54
Asia,China,CHN,Mammal,2000,586,3370,105,35
Americas,Ecuador,ECU,Amphibian,2000,84,780,-78.497,-1.385
Asia,Japan,JPN,Fish,2000,479,1159,138,36
Americas,Mexico,MEX,Fish,2000,786,5505,-102,23
Europe,Portugal,PRT,Shell,2000,14,96,-8,39.5
Americas,Canada,CAN,Other,2000,323,28047,-95,60
Americas,Mexico,MEX,Shell,2000,485,5505,-102,23
Europe,Sweden,SWE,Fish,2000,10,132,15,62
Europe,Sweden,SWE,Crustacean,2000,2,132,15,62
Europe,Sweden,SWE,Other,2000,6,132,15,62
Asia,India,IND,Shell,2000,456,911,79.619,22.881
Asia,Taiwan,TWN,Other,2000,52,1873,120.946,23.754
Europe,United Kingdom,GBR,Shell,2000,244,3104,-2,54
Asia,Philippines,PHL,Mammal,2000,187,15920,122,13
Europe,Portugal,PRT,Mammal,2000,64,96,-8,39.5
Oceania,Samoa,WSM,Coral,2000,44,92,-172.333333333,-13.5833333333
Oceania,Fiji,FJI,Fish,2000,357,6266,177.974,-17.819
Oceania,Fiji,FJI,Other,2000,285,6266,177.974,-17.819
Oceania,Fiji,FJI,Coral,2000,5298,6266,177.974,-17.819
Oceania,Fiji,FJI,Shell,2000,295,6266,177.974,-17.819
Americas,Mexico,MEX,Amphibian,2000,193,5505,-102,23
Asia,South Korea,KOR,Fish,2000,176,1202,128.103,36.504
Americas,El Salvador,SLV,Reptile,2000,140,251,-88.866,13.736
Asia,Kuwait,KWT,Reptile,2000,1,5,47.376,29.476
Asia,Bahrain,BHR,Reptile,2000,2,5,50.55,26
Europe,France,FRA,Fish,2000,93,3143,2,46
Europe,Greece,GRC,Mammal,2000,586,624,22,39
Europe,France,FRA,Mammal,2000,766,3143,2,46
Africa,Zimbabwe,ZWE,Bird,2000,247,6833,29.872,-19
Europe,Netherlands,NLD,Mammal,2000,131,597,5.389,52.077
Americas,Belize,BLZ,Fish,2000,58,200,-88.602,17.219
Asia,Malaysia,MYS,Reptile,2000,262,1717,112.5,2.5
Americas,Peru,PER,Fish,2000,634,1009,-75.552,-9.326
Americas,Ecuador,ECU,Insect,2000,164,780,-78.497,-1.385
Europe,Switzerland,CHE,Reptile,2000,4005,6063,7.908,46.861
Americas,Bahamas,BHS,Other,2000,152,246,-76,24.25
Americas,Jamaica,JAM,Fish,2000,52,67,-77.5,18.25
Americas,Brazil,BRA,Fish,2000,868,1102,-53.089,-10.772
Americas,Haiti,HTI,Crustacean,2000,257,1118,-72.4166666667,19
Americas,Haiti,HTI,Fish,2000,330,1118,-72.4166666667,19
Americas,Haiti,HTI,Other,2000,344,1118,-72.4166666667,19
Americas,Nicaragua,NIC,Fish,2000,19,600,-85,13
Americas,Nicaragua,NIC,Amphibian,2000,81,600,-85,13
Americas,Dominican Republic,DOM,Fish,2000,71,418,-70.6666666667,19
Americas,Costa Rica,CRI,Fish,2000,247,970,-83.946,9.971
Europe,Italy,ITA,Amphibian,2000,59,18826,10.44,44.931
Oceania,Australia,AUS,Other,2000,70,1023,133,-27
Europe,United Kingdom,GBR,Other,2000,17,3104,-2,54
Americas,Honduras,HND,Shell,2000,132,336,-86.5,15
Europe,Switzerland,CHE,Fish,2000,215,6063,7.908,46.861
Europe,Switzerland,CHE,Bird,2000,314,6063,7.908,46.861
Americas,Costa Rica,CRI,Insect,2000,573,970,-83.946,9.971
Americas,Belize,BLZ,Insect,2000,101,200,-88.602,17.219
Americas,El Salvador,SLV,Insect,2000,105,251,-88.866,13.736
Oceania,Marshall Islands,MHL,Coral,2000,105,343,168,9
Asia,Singapore,SGP,Mammal,2000,23,1893,103.8,1.36666666667
Oceania,Marshall Islands,MHL,Shell,2000,109,343,168,9
Africa,Swaziland,SWZ,Mammal,2000,21,21,31.5,-26.5
Africa,Nigeria,NGA,Reptile,2000,122,648,8,10
Oceania,Kiribati,KIR,Fish,2000,204,209,173,1.41666666667
Africa,Madagascar,MDG,Shell,2000,21,741,47,-20
Americas,Canada,CAN,Amphibian,2000,50,28047,-95,60
Africa,Zambia,ZMB,Mammal,2000,990,1063,30,-15
Africa,Kenya,KEN,Bird,2000,30,321,37.858,0.53
Africa,Kenya,KEN,Mammal,2000,50,321,37.858,0.53
Oceania,Micronesia (Federated States of),FSM,Reptile,2000,6,10,158.235,6.883
Asia,South Korea,KOR,Mammal,2000,190,1202,128.103,36.504
Asia,Indonesia,IDN,Mammal,2000,256,19401,114.252,-0.976
Asia,Israel,ISR,Shell,2000,12,96,34.75,31.5
Africa,South Africa,ZAF,Insect,2000,19,17413,23.121,-30.558
Oceania,New Caledonia,NCL,Shell,2000,5,33,165.5,-21.5
Asia,Maldives,MDV,Fish,2000,13,20,73,3.25
Oceania,Cook Islands,COK,Fish,2000,52,57,-159.766666667,-21.2333333333
Oceania,Australia,AUS,Shell,2000,78,1023,133,-27
Oceania,Solomon Islands,SLB,Coral,2000,1516,1883,159,-8
Oceania,Solomon Islands,SLB,Shell,2000,172,1883,159,-8
Oceania,Solomon Islands,SLB,Fish,2000,78,1883,159,-8
Europe,Russia,RUS,Mammal,2000,682,1218,100,60
Americas,Honduras,HND,Fish,2000,25,336,-86.5,15
Africa,Kenya,KEN,Reptile,2000,13,321,37.858,0.53
Europe,United Kingdom,GBR,Mammal,2000,1536,3104,-2,54
Europe,Sweden,SWE,Mammal,2000,42,132,15,62
Europe,Germany,DEU,Shell,2000,169,1482,9,51
Asia,Vietnam,VNM,Crustacean,2000,65,1703,105.314,21.491
Asia,Vietnam,VNM,Fish,2000,268,1703,105.314,21.491
Americas,Canada,CAN,Echinoderms,2000,83,28047,-95,60
Americas,Brazil,BRA,Reptile,2000,28,1102,-53.089,-10.772
Africa,Botswana,BWA,Bird,2000,31,775,23.815,-22.182
Americas,Suriname,SUR,Insect,2000,70,323,-55.912,4.127
Asia,Thailand,THA,Mammal,2000,412,7317,100.844,15.7
Americas,Mexico,MEX,Echinoderms,2000,106,5505,-102,23
Americas,Mexico,MEX,Insect,2000,8,5505,-102,23
Europe,France,FRA,Spider,2000,12,3143,2,46
Africa,Nigeria,NGA,Fish,2000,365,648,8,10
Europe,Greece,GRC,Other,2000,26,624,22,39
Americas,Argentina,ARG,Reptile,2000,108,575,-65.167,-35.377
Africa,Congo - Brazzaville,COG,Fish,2000,41,109,15,-1
Europe,Russia,RUS,Bird,2000,182,1218,100,60
Europe,Netherlands,NLD,Bird,2000,202,597,5.389,52.077
Africa,Benin,BEN,Reptile,2000,192,224,2.25,9.5
Oceania,Australia,AUS,Fish,2000,197,1023,133,-27
Asia,Indonesia,IDN,Reptile,2000,1315,19401,114.252,-0.976
Europe,France,FRA,Reptile,2000,1517,3143,2,46
Americas,Argentina,ARG,Mammal,2000,342,575,-65.167,-35.377
Asia,Yemen,YEM,Fish,2000,124,129,48,15
Africa,Ethiopia,ETH,Reptile,2000,18,79,39.616,8.626
Americas,Turks & Caicos Islands,TCA,Shell,2000,176,178,-71.95,21.902
Asia,Vietnam,VNM,Mammal,2000,60,1703,105.314,21.491
Europe,Germany,DEU,Mammal,2000,654,1482,9,51
Oceania,New Zealand,NZL,Other,2000,10,1649,174,-41
Americas,Canada,CAN,Coral,2000,48,28047,-95,60
Africa,Madagascar,MDG,Insect,2000,12,741,47,-20
Americas,Bahamas,BHS,Bird,2000,7,246,-76,24.25
Africa,Tanzania,TZA,Mammal,2000,2960,4434,35,-6
Africa,Tanzania,TZA,Bird,2000,97,4434,35,-6
Oceania,Fiji,FJI,Bird,2000,11,6266,177.974,-17.819
Europe,Germany,DEU,Spider,2000,92,1482,9,51
Europe,Germany,DEU,Amphibian,2000,21,1482,9,51
Oceania,Australia,AUS,Mammal,2000,433,1023,133,-27
Africa,Guinea,GIN,Mammal,2000,3,19,-10,11
Asia,Hong Kong SAR China,HKG,Reptile,2000,1005,11883,114.129,22.423
Europe,Finland,FIN,Mammal,2000,203,214,26.272,64.504
Asia,Taiwan,TWN,Reptile,2000,95,1873,120.946,23.754
Asia,Armenia,ARM,Fish,2000,5,17,45,40
Asia,Hong Kong SAR China,HKG,Coral,2000,134,11883,114.129,22.423
Asia,Hong Kong SAR China,HKG,Other,2000,36,11883,114.129,22.423
Oceania,Tonga,TON,Fish,2000,100,1760,-175,-20
Oceania,Tonga,TON,Other,2000,101,1760,-175,-20
Oceania,Tonga,TON,Shell,2000,274,1760,-175,-20
Oceania,Tonga,TON,Coral,2000,1272,1760,-175,-20
Asia,Sri Lanka,LKA,Fish,2000,614,2155,81,7
Asia,Sri Lanka,LKA,Other,2000,403,2155,81,7
Oceania,Tonga,TON,Crustacean,2000,9,1760,-175,-20
Africa,Nigeria,NGA,Other,2000,15,648,8,10
Asia,Singapore,SGP,Reptile,2000,295,1893,103.8,1.36666666667
Africa,Mauritius,MUS,Mammal,2000,69,76,57.583,-20.255
Asia,Thailand,THA,Insect,2000,93,7317,100.844,15.7
Asia,Malaysia,MYS,Amphibian,2000,68,1717,112.5,2.5
Asia,Malaysia,MYS,Spider,2000,23,1717,112.5,2.5
Asia,Sri Lanka,LKA,Mammal,2000,502,2155,81,7
Asia,Sri Lanka,LKA,Bird,2000,354,2155,81,7
Europe,Czechia,CZE,Fish,2000,66,172,15.338,49.743
Asia,Tajikistan,TJK,Mammal,2000,34,34,69.42,38.665
Africa,Zimbabwe,ZWE,Shell,2000,7,6833,29.872,-19
Asia,Malaysia,MYS,Shell,2000,436,1717,112.5,2.5
Africa,Kenya,KEN,Insect,2000,57,321,37.858,0.53
Africa,Benin,BEN,Spider,2000,27,224,2.25,9.5
Americas,Bahamas,BHS,Coral,2000,27,246,-76,24.25
Europe,Germany,DEU,Fish,2000,98,1482,9,51
Oceania,Marshall Islands,MHL,Reptile,2000,3,343,168,9
Asia,Malaysia,MYS,Mammal,2000,30,1717,112.5,2.5
Europe,Switzerland,CHE,Coral,2000,17,6063,7.908,46.861
Europe,United Kingdom,GBR,Bird,2000,585,3104,-2,54
Europe,Belgium,BEL,Mammal,2000,42,416,4.664,50.643
Africa,Zimbabwe,ZWE,Reptile,2000,102,6833,29.872,-19
Asia,Macau SAR China,MAC,Bird,2000,6,77,113.55,22.1666666667
Europe,Czechia,CZE,Amphibian,2000,16,172,15.338,49.743
Asia,Hong Kong SAR China,HKG,Bird,2000,267,11883,114.129,22.423
Americas,Canada,CAN,Reptile,2000,144,28047,-95,60
Europe,Denmark,DNK,Mammal,2000,104,178,10,56
Americas,Dominican Republic,DOM,Shell,2000,20,418,-70.6666666667,19
Americas,Panama,PAN,Bird,2000,6,70,-80.92,8.384
Asia,South Korea,KOR,Bird,2000,73,1202,128.103,36.504
Asia,Philippines,PHL,Echinoderms,2000,104,15920,122,13
Oceania,Palau,PLW,Fish,2000,50,252,134.5,7.5
Oceania,Palau,PLW,Crustacean,2000,18,252,134.5,7.5
Oceania,Palau,PLW,Other,2000,48,252,134.5,7.5
Oceania,Palau,PLW,Shell,2000,88,252,134.5,7.5
Oceania,Palau,PLW,Coral,2000,22,252,134.5,7.5
Americas,Brazil,BRA,Insect,2000,15,1102,-53.089,-10.772
Africa,Mozambique,MOZ,Reptile,2000,27,83,37.923,-14.422
Europe,Ukraine,UKR,Fish,2000,6,82,32,49
Africa,Nigeria,NGA,Crustacean,2000,35,648,8,10
Africa,Nigeria,NGA,Amphibian,2000,49,648,8,10
Asia,Sri Lanka,LKA,Crustacean,2000,239,2155,81,7
Oceania,New Caledonia,NCL,Fish,2000,15,33,165.5,-21.5
Asia,Malaysia,MYS,Other,2000,14,1717,112.5,2.5
Asia,Malaysia,MYS,Crustacean,2000,3,1717,112.5,2.5
Oceania,Solomon Islands,SLB,Reptile,2000,47,1883,159,-8
Oceania,Solomon Islands,SLB,Amphibian,2000,12,1883,159,-8
Asia,India,IND,Fish,2000,79,911,79.619,22.881
Asia,India,IND,Crustacean,2000,39,911,79.619,22.881
Oceania,Marshall Islands,MHL,Fish,2000,95,343,168,9
Americas,Honduras,HND,Other,2000,13,336,-86.5,15
Asia,India,IND,Other,2000,16,911,79.619,22.881
Americas,Panama,PAN,Fish,2000,12,70,-80.92,8.384
Americas,Panama,PAN,Other,2000,5,70,-80.92,8.384
Americas,Trinidad & Tobago,TTO,Reptile,2000,17,515,-61,11
Americas,Trinidad & Tobago,TTO,Mammal,2000,7,515,-61,11
Americas,Guatemala,GTM,Bird,2000,5,134,-90.25,15.5
Americas,Guatemala,GTM,Reptile,2000,89,134,-90.25,15.5
Americas,Canada,CAN,Insect,2000,119,28047,-95,60
Americas,Cuba,CUB,Bird,2000,17,30,-80,21.5
Asia,Laos,LAO,Fish,2000,9,149,102.471,19.905
Asia,Laos,LAO,Crustacean,2000,2,149,102.471,19.905
Asia,Laos,LAO,Shell,2000,4,149,102.471,19.905
Africa,Malawi,MWI,Fish,2000,15,19,34,-13.5
Asia,India,IND,Mammal,2000,200,911,79.619,22.881
Europe,Belgium,BEL,Bird,2000,300,416,4.664,50.643
Americas,Haiti,HTI,Shell,2000,157,1118,-72.4166666667,19
Europe,United Kingdom,GBR,Insect,2000,63,3104,-2,54
Asia,Thailand,THA,Bird,2000,276,7317,100.844,15.7
Americas,Peru,PER,Bird,2000,101,1009,-75.552,-9.326
Europe,Russia,RUS,Fish,2000,240,1218,100,60
Oceania,Tonga,TON,Reptile,2000,2,1760,-175,-20
Oceania,Tonga,TON,Mammal,2000,1,1760,-175,-20
Europe,Austria,AUT,Mammal,2000,116,527,13.3333333333,47.3333333333
Europe,United Kingdom,GBR,Fish,2000,71,3104,-2,54
Africa,Tanzania,TZA,Reptile,2000,870,4434,35,-6
Africa,Zambia,ZMB,Fish,2000,20,1063,30,-15
Asia,Israel,ISR,Bird,2000,21,96,34.75,31.5
Europe,France,FRA,Annelid,2000,15,3143,2,46
Americas,Colombia,COL,Shell,2000,14,1467,-73.076,3.9
Europe,Germany,DEU,Bird,2000,79,1482,9,51
Americas,Guyana,GUY,Reptile,2000,444,836,-59,5
Asia,Turkey,TUR,Mammal,2000,51,85,35.179,39.061
Asia,Japan,JPN,Reptile,2000,63,1159,138,36
Asia,India,IND,Bird,2000,49,911,79.619,22.881
Africa,South Africa,ZAF,Amphibian,2000,7,17413,23.121,-30.558
Europe,Netherlands,NLD,Spider,2000,58,597,5.389,52.077
Europe,Netherlands,NLD,Other,2000,8,597,5.389,52.077
Asia,South Korea,KOR,Reptile,2000,26,1202,128.103,36.504
Africa,Ethiopia,ETH,Mammal,2000,56,79,39.616,8.626
Asia,Singapore,SGP,Bird,2000,68,1893,103.8,1.36666666667
Europe,Belgium,BEL,Amphibian,2000,8,416,4.664,50.643
Asia,Sri Lanka,LKA,Shell,2000,28,2155,81,7
Oceania,Vanuatu,VUT,Shell,2000,58,167,167,-16
Oceania,Vanuatu,VUT,Fish,2000,19,167,167,-16
Europe,Switzerland,CHE,Mammal,2000,338,6063,7.908,46.861
Asia,Philippines,PHL,Reptile,2000,67,15920,122,13
Africa,Burundi,BDI,Fish,2000,15,15,30,-3.5
Europe,Austria,AUT,Reptile,2000,264,527,13.3333333333,47.3333333333
Europe,Austria,AUT,Fish,2000,40,527,13.3333333333,47.3333333333
Asia,Pakistan,PAK,Mammal,2000,13,25,70,30
Europe,Norway,NOR,Fish,2000,4,58,8.74,61.152
Asia,Japan,JPN,Mammal,2000,184,1159,138,36
Americas,Canada,CAN,Crustacean,2000,65,28047,-95,60
Europe,Italy,ITA,Fish,2000,150,18826,10.44,44.931
Europe,Ireland,IRL,Reptile,2000,3,34,-8,53
Oceania,French Polynesia,PYF,Fish,2000,61,88,-140,-15
Europe,Netherlands,NLD,Fish,2000,29,597,5.389,52.077
Asia,Taiwan,TWN,Bird,2000,77,1873,120.946,23.754
Europe,United Kingdom,GBR,Coral,2000,64,3104,-2,54
Americas,Honduras,HND,Bird,2000,4,336,-86.5,15
Americas,Nicaragua,NIC,Reptile,2000,366,600,-85,13
Asia,Vietnam,VNM,Other,2000,48,1703,105.314,21.491
Africa,Nigeria,NGA,Bird,2000,2,648,8,10
Americas,Honduras,HND,Crustacean,2000,13,336,-86.5,15
Asia,Jordan,JOR,Bird,2000,1,7,36,31
Africa,Mali,MLI,Reptile,2000,15,23,-4,17
Africa,Uganda,UGA,Insect,2000,4,24,32,1
Americas,Belize,BLZ,Shell,2000,28,200,-88.602,17.219
Asia,Laos,LAO,Mammal,2000,42,149,102.471,19.905
Africa,Central African Republic,CAF,Insect,2000,16,136,21,7
Europe,Bulgaria,BGR,Fish,2000,23,48,25,43
Americas,Chile,CHL,Shell,2000,22,127,-71,-30
Asia,Iran,IRN,Fish,2000,14,22,53,32
Oceania,French Polynesia,PYF,Shell,2000,26,88,-140,-15
Africa,South Africa,ZAF,Reptile,2000,188,17413,23.121,-30.558
Asia,South Korea,KOR,Other,2000,49,1202,128.103,36.504
Americas,Peru,PER,Insect,2000,100,1009,-75.552,-9.326
Americas,Mexico,MEX,Other,2000,32,5505,-102,23
Americas,Mexico,MEX,Crustacean,2000,57,5505,-102,23
Americas,Nicaragua,NIC,Bird,2000,25,600,-85,13
Americas,Paraguay,PRY,Fish,2000,16,200,-58,-23
Americas,Panama,PAN,Shell,2000,3,70,-80.92,8.384
Africa,Tanzania,TZA,Other,2000,40,4434,35,-6
Africa,Tanzania,TZA,Amphibian,2000,214,4434,35,-6
Africa,Tanzania,TZA,Spider,2000,44,4434,35,-6
Asia,Thailand,THA,Spider,2000,7,7317,100.844,15.7
Europe,Czechia,CZE,Mammal,2000,42,172,15.338,49.743
Oceania,Australia,AUS,Reptile,2000,93,1023,133,-27
Oceania,Marshall Islands,MHL,Other,2000,15,343,168,9
Oceania,Marshall Islands,MHL,Crustacean,2000,13,343,168,9
Africa,Togo,TGO,Reptile,2000,384,514,1.081,8.799
Africa,Togo,TGO,Fish,2000,2,514,1.081,8.799
Asia,Vietnam,VNM,Spider,2000,33,1703,105.314,21.491
Asia,Sri Lanka,LKA,Amphibian,2000,4,2155,81,7
Europe,Belgium,BEL,Fish,2000,24,416,4.664,50.643
Americas,Chile,CHL,Mammal,2000,8,127,-71,-30
Oceania,Samoa,WSM,Shell,2000,47,92,-172.333333333,-13.5833333333
Americas,Argentina,ARG,Insect,2000,25,575,-65.167,-35.377
Asia,Mongolia,MNG,Shell,2000,1,180,105,46
Europe,Bulgaria,BGR,Mammal,2000,10,48,25,43
Africa,Ghana,GHA,Reptile,2000,336,504,-1.207,7.96
Africa,Ghana,GHA,Spider,2000,46,504,-1.207,7.96
Africa,Ghana,GHA,Insect,2000,13,504,-1.207,7.96
Americas,Ecuador,ECU,Reptile,2000,11,780,-78.497,-1.385
Europe,Germany,DEU,Other,2000,13,1482,9,51
Asia,Japan,JPN,Crustacean,2000,20,1159,138,36
Americas,Chile,CHL,Spider,2000,23,127,-71,-30
Americas,Chile,CHL,Reptile,2000,15,127,-71,-30
Africa,Kenya,KEN,Fish,2000,67,321,37.858,0.53
Africa,Kenya,KEN,Other,2000,46,321,37.858,0.53
Asia,Singapore,SGP,Crustacean,2000,38,1893,103.8,1.36666666667
Americas,Guatemala,GTM,Shell,2000,10,134,-90.25,15.5
Europe,France,FRA,Coral,2000,27,3143,2,46
Europe,Romania,ROU,Bird,2000,3,44,25,46
Americas,Colombia,COL,Bird,2000,17,1467,-73.076,3.9
Asia,Thailand,THA,Amphibian,2000,59,7317,100.844,15.7
Americas,Guatemala,GTM,Amphibian,2000,23,134,-90.25,15.5
Americas,Peru,PER,Spider,2000,44,1009,-75.552,-9.326
Americas,Ecuador,ECU,Other,2000,10,780,-78.497,-1.385
Americas,Brazil,BRA,Other,2000,30,1102,-53.089,-10.772
Oceania,Vanuatu,VUT,Coral,2000,67,167,167,-16
Africa,Ghana,GHA,Other,2000,14,504,-1.207,7.96
Europe,Croatia,HRV,Mammal,2000,16,26,15.5,45.1666666667
Africa,Ghana,GHA,Shell,2000,8,504,-1.207,7.96
Africa,Ghana,GHA,Amphibian,2000,43,504,-1.207,7.96
Asia,Thailand,THA,Coral,2000,209,7317,100.844,15.7
Americas,Cayman Islands,CYM,Coral,2000,4,9,-81.198,19.314
Europe,Ireland,IRL,Shell,2000,5,34,-8,53
Americas,Guatemala,GTM,Fish,2000,1,134,-90.25,15.5
Europe,Macedonia,MKD,Bird,2000,2,8,21.698,41.6
Europe,Italy,ITA,Plant,2000,7,18826,10.44,44.931
Americas,Mexico,MEX,Coral,2000,34,5505,-102,23
Asia,Indonesia,IDN,Insect,2000,81,19401,114.252,-0.976
Europe,Netherlands,NLD,Shell,2000,43,597,5.389,52.077
Asia,Hong Kong SAR China,HKG,Insect,2000,12,11883,114.129,22.423
Asia,Turkey,TUR,Shell,2000,18,85,35.179,39.061
Americas,Canada,CAN,Plant,2000,6,28047,-95,60
Africa,Mali,MLI,Fish,2000,1,23,-4,17
Oceania,Christmas Island,CXR,Fish,2000,2,2,105.704,-10.444
Asia,India,IND,Coral,2000,11,911,79.619,22.881
Oceania,Australia,AUS,Coral,2000,8,1023,133,-27
Oceania,Australia,AUS,Bird,2000,58,1023,133,-27
Americas,Costa Rica,CRI,Mammal,2000,63,970,-83.946,9.971
Asia,Thailand,THA,Plant,2000,2,7317,100.844,15.7
Europe,Vatican City,VAT,Mammal,2000,6,17,12.45,41.9
Oceania,Australia,AUS,Crustacean,2000,33,1023,133,-27
Europe,Italy,ITA,Insect,2000,9,18826,10.44,44.931
Europe,Belgium,BEL,Insect,2000,17,416,4.664,50.643
Africa,Liberia,LBR,Mammal,2000,30,34,-9.5,6.5
Asia,Vietnam,VNM,Bird,2000,26,1703,105.314,21.491
Europe,Germany,DEU,Coral,2000,6,1482,9,51
Africa,Tanzania,TZA,Fish,2000,48,4434,35,-6
Africa,Congo - Brazzaville,COG,Reptile,2000,31,109,15,-1
Africa,Congo - Kinshasa,COD,Fish,2000,12,37,25,0.0166666666667
Oceania,Vanuatu,VUT,Other,2000,21,167,167,-16
Oceania,New Zealand,NZL,Shell,2000,54,1649,174,-41
Asia,Taiwan,TWN,Mammal,2000,69,1873,120.946,23.754
Europe,Russia,RUS,Shell,2000,32,1218,100,60
Africa,Cameroon,CMR,Amphibian,2000,10,383,12,6
Africa,Cameroon,CMR,Reptile,2000,97,383,12,6
Europe,Austria,AUT,Bird,2000,80,527,13.3333333333,47.3333333333
Africa,Togo,TGO,Spider,2000,39,514,1.081,8.799
Africa,Togo,TGO,Amphibian,2000,35,514,1.081,8.799
Americas,Guyana,GUY,Mammal,2000,61,836,-59,5
Europe,Croatia,HRV,Fish,2000,1,26,15.5,45.1666666667
