SPEC_CODE,C,O,F,Genus,Species,Subspecies,Common.Specific.1,Common.General.1,Taxa
STAB,B,CR,LA,STERNA,ALBIFRONS,BROWNI,STERNA,ANTILLARUM,BIRD
STAL,B,PC,DI,PHOEBASTRIA,ALBATRUS,,DIOMEDEA,ALBATRUS,BIRD
STAL,B,PC,DI,DIOMEDEA,ALBATRUS, ,SHORT-TAILED,ALBATROSS,BIRD
STBU,B,ST,SR,STRIX,BUTLERI, ,HUME'S,OWL,BIRD
STCA,B,SR,SU,STRUTHIO,CAMELUS, ,SOUTHERN AFRICAN,OSTRICH,BIRD
STCY,B,AP,TO,STERNOCLYTA,CYANOPECTUS, ,VIOLET-CHESTED,HUMMINGBIRD,BIRD
STDA,B,ST,SR,STRIX,DAVIDI, ,SICHUAN WOOD,OWL,BIRD
STDA,B,ST,SR,STRIX,URALENSIS,DAVIDI,STRIX,DAVIDI,BIRD
STDD,B,CR,LA,STERNA,DOUGALLII,DOUGALLII,ROSEATE,TERN,BIRD
STDE,B,CO,CO,STREPTOPELIA,DECIPIENS, ,AFRICAN MOURNING,DOVE,BIRD
STE$,B,CR,LA,STERNINAE,,,,TERNS & NOODIES,BIRD
STEA,B,CR,LA,STERNA,ANTILLARUM, ,LEAST,TERN,BIRD
STEB,B,CR,LA,STERNA,BERGII,,GREAT CRESTED,TERN,BIRD
STEC,B,FA,AC,STEPHANOAETUS,CORONATUS, ,CROWNED,EAGLE,BIRD
STEC,B,FA,AC,SPIZAETUS,CORONATUS,,STEPHANOAETUS,CORONATUS,BIRD
STEG,B,PA,PZ,STEGANURA,SPECIES, , ,WHYDAH,BIRD
STEH,B,CR,LA,STERNA,HIRUNDINACEA,,SOUTH AMERICAN,TERN,BIRD
STEI,B,AN,AN,POLYSTICTA,STELLERI, ,STELLER'S,EIDER,BIRD
STFL,B,PA,TD,TYRANNUS,FORFICATUS, ,SCISSOR-TAILED,FLYCATCHER,BIRD
STFU,B,ST,SR,STRIX,FULVESCENS, ,FULVOUS,OWL,BIRD
STFU,B,ST,SR,STRIX,VARIA,FULVESCENS,STRIX,FULVESCENS,BIRD
STG?,B,PA,ET,STEGANOPLEURA,SPECIES, ,STAGONOPLEURA,SPECIES,BIRD
STG?,B,PA,ET,STAGONOPLEURA,SPECIES, , ,FIRETAIL,BIRD
STHA,B,FA,AC,BUTEO,BRACHYURUS, ,SHORT-TAILED,HAWK,BIRD
STHE,B,AP,TO,PHAETHORNIS,RUPURUMII,,STREAK-THROATED,HERMIT,BIRD
STHY,B,ST,SR,STRIX,HYLOPHILA, ,RUSTY-BARRED,OWL,BIRD
STII,B,CR,GL,STILTIA,ISABELLA,,AUSTRALIAN,PRATINCOLE,BIRD
STJA,B,PA,CV,CYANOCITTA,STELLERI, ,STELLER'S,JAY,BIRD
STKI,B,FA,AC,ELANOIDES,FORFICATUS, ,SWALLOW-TAILED,KITE,BIRD
STLA,B,AP,TO,STEPHANOXIS,LALANDI, , ,PLOVERCREST,BIRD
STLE,B,ST,SR,STRIX,LEPTOGRAMMICA, ,BROWN WOOD,OWL,BIRD
STOC,B,ST,SR,STRIX,OCCIDENTALIS,CAURINA,NORTHERN SPOTTED,OWL,BIRD
STOL,B,ST,SR,STRIX,OCCIDENTALIS,LUCIDA,MEXICAN SPOTTED,OWL,BIRD
STPE,B,PC,PC,PTERODROMA,ARMINJONIANA, ,HERALD,PETREL,BIRD
STPR,B,CO,CO,STREPTOPELIA,PICTURATA,ROSTRATA,SEYCHELLES TURTLE,DOVE,BIRD
STR#,B,ST,SR,STRIGIDAE, , , ,OWLS,BIRD
STR$,B,CR,LA,STERCORARIINAE,,,,SKUAS & JAEGERS,BIRD
STRA,B,ST,SR,STRIX,ALUCO, ,TAWNY,OWL,BIRD
STRB,B,CO,CO,STREPTOPELIA,BITORQUATA,,ISLAND COLLARED,DOVE,BIRD
STRC,B,CO,CO,STREPTOPELIA,CAPICOLA, ,RING-NECKED,DOVE,BIRD
STRD,B,CO,CO,STREPTOPELIA,DECAOCTO,,EURASIAN COLLARED,DOVE,BIRD
STRE,B,PA,EM,MYIOBORUS,MINIATUS, ,SLATY-THROATED,REDSTART,BIRD
STRH,B,PS,PS,STRIGOPS,HABROPTILUS, , ,KAKAPO,BIRD
STRI,B,ST, ,STRIGIFORMES, , , ,OWLS,BIRD
STRO,B,PA,ST,STURNUS,ROSEUS, ,PINK,STARLING,BIRD
STRP,B,CO,CO,STREPTOPELIA,PICTURATA, ,MADAGASCAR TURTLE,DOVE,BIRD
STRS,B,ST,SR,STRIX,SELOPUTO, ,SPOTTED WOOD,OWL,BIRD
STRU,B,ST,SR,STRIX,RUFIPES, ,RUFOUS-LEGGED,OWL,BIRD
STS?,B,PA,ST,STURNUS,SPECIES, , ,STARLING,BIRD
STSA,B,CR,SO,CALIDRIS,HIMANTOPUS, ,STILT,SANDPIPER,BIRD
STSE,B,CO,CO,STREPTOPELIA,SEMITORQUATA, ,RED-EYED,DOVE,BIRD
STSH,B,PC,PC,PUFFINUS,TENUIROSTRIS, ,SHORT-TAILED,SHEARWATER,BIRD
STSP,B,PA,EM,AMMODRAMUS,CAUDACUTUS, ,SHARP-TAILED,SPARROW,BIRD
STSW,B,AP,AP,CHAETURA,BRACHYURA, ,SHORT-TAILED,SWIFT,BIRD
STT#,B,SR,SU,STRUTHIONIDAE, , , ,OSTRICHES,BIRD
STTU,B,CO,CO,STREPTOPELIA,TURTUR, ,TURTLE,DOVE,BIRD
STU#,B,PA,ST,STURNIDAE, , , ,STARLINGS,BIRD
STU?,B,PA,IC,STURNELLA,SPECIES, , ,MEADOWLARK,BIRD
STVI,B,CO,CO,STREPTOPELIA,VINACEA, ,VINACEOUS,DOVE,BIRD
STVU,B,PA,ST,STURNUS,VULGARIS,,COMMON,STARLING,BIRD
STX?,B,ST,SR,STRIX,SPECIES, , ,OWL,BIRD
STZO,B,AP,AP,STREPTOPROCNE,ZONARIS, ,WHITE-COLLARED,SWIFT,BIRD
SUAB,B,PL,SL,PAPASULA,ABBOTTI, ,ABBOTT'S,BOOBY,BIRD
SUAB,B,PL,SL,SULA,ABBOTTI, ,PAPASULA,ABBOTTI,BIRD
SUL#,B,PL,SL,SULIDAE, , , ,"GANNETS, BOOBYS",BIRD
SURA,B,ST,SR,STRIX,URALENSIS, ,URAL,OWL,BIRD
SURF,B,CR,SO,APHRIZA,VIRGATA, , ,SURFBIRD,BIRD
SUSC,B,AN,AN,MELANITTA,PERSPICILLATA, ,SURF,SCOTER,BIRD
SUTA,B,PA,EM,PIRANGA,RUBRA, ,SUMMER,TANAGER,BIRD
SWHA,B,FA,AC,BUTEO,SWAINSONI, ,SWAINSON'S,HAWK,BIRD
SWOW,B,ST,SR,AEGOLIUS,ACADICUS, ,NORTHERN SAW-WHET,OWL,BIRD
SWSN,B,CR,SO,GALLINAGO,MEGALA, ,SWINHOE'S,SNIPE,BIRD
SWSP,B,PA,EM,MELOSPIZA,GEORGIANA, ,SWAMP,SPARROW,BIRD
SWT?,B,AP,AP,COLLOCALIA,SPECIES,,,SWIFTLET,BIRD
SWTH,B,PA,MC,CATHARUS,USTULATUS, ,SWAINSON'S,THRUSH,BIRD
SWWA,B,PA,EM,LIMNOTHLYPIS,SWAINSONII, ,SWAINSON'S,WARBLER,BIRD
SY$$,B,PA,SY,SYLVIIDAE,,,OLD WORLD,WARBLERS,BIRD
SYA?,B,PA,FU,SYNALLAXIS,SPECIES,,,SPINETAIL,BIRD
SYCI,B,PA,FU,SYNALLAXIS,CINERASCENS,,GREY-BELLIED,SPINETAIL,BIRD
SYCU,B,PA,MC,SYLVIA,CURRUCA, ,LESSER,WHITETHROAT,BIRD
SYD?,B,PA,FU,SYNDACTYLA,SPECIES,,,FOLIAGE-GLEANER,BIRD
SYH?,B,CO,PT,SYRRHAPTES,SPECIES,,,SANDGROUSE,BIRD
SYIN,B,GR,OI,EUPODOTIS,INDICA, ,LESSER,FLORICAN,BIRD
SYIN,B,GR,OI,SYPHEOTIDES,INDICA, ,EUPODOTIS,INDICA,BIRD
SYL?,B,PA,MC,SYLVIA,SPECIES, , ,WARBLER,BIRD
SYMA,B,PA,FU,SYNALLAXIS,MARANONICA,,MARANON,SPINETAIL,BIRD
SYN?,B,CR,AL,SYNTHLIBORAMPHUS,SPECIES, , ,MURRELET,BIRD
SYNR,B,PA,FU,SYNDACTYLA,RUFOSUPERCILIATA,,BUFF-BROWED,FOLIAGE-GLEANER,BIRD
SYNS,B,PA,FU,SYNDACTYLA,SUBALARIS,,LINEATED,FOLIAGE-GLEANER,BIRD
SYR?,B,GA,PD,SYRMATICUS,SPECIES, , ,PHEASANT,BIRD
SYRE,B,GA,PD,SYRMATICUS,ELLIOTI, ,ELLIOT'S,PHEASANT,BIRD
SYRH,B,GA,PD,SYRMATICUS,HUMIAE, ,BAR-TAILED,PHEASANT,BIRD
SYRM,B,GA,PD,SYRMATICUS,MIKADO, ,MIKADO,PHEASANT,BIRD
SYRP,B,CO,PT,SYRRHAPTES,PARADOXUS,,PALLAS',SANDGROUSE,BIRD
SYRU,B,PA,FU,SYNALLAXIS,RUFICAPILLA,,RUFOUS-CAPPED,SPINETAIL,BIRD
SYSO,B,GA,PD,SYRMATICUS,SOEMMERRINGII, ,COPPER,PHEASANT,BIRD
SYST,B,PA,FU,SYNALLAXIS,STICTOTHORAX,,NECKLACED,SPINETAIL,BIRD
SYWU,B,CR,AL,SYNTHLIBORAMPHUS,WUMIZUSUME, ,JAPANESE,MURRELET,BIRD
SZX?,B,PA,PY,SPIZIXOS,SPECIES,,,FINCHBILL,BIRD
TAAR,B,PA,EM,TANGARA,ARTHUS,,GOLDEN,TANAGER,BIRD
TABI,B,PA,ET,POEPHILA,BICHENOVII, ,TAENIOPYGIA,BICHENOVII,BIRD
TABI,B,PA,ET,STIZOPTERA,BICHENOVII, ,TAENIOPYGIA,BICHENOVII,BIRD
TABI,B,PA,ET,TAENIOPYGIA,BICHENOVII, ,DOUBLE-BARRED,FINCH,BIRD
TABO,B,CC,BC,TOCKUS,ALBOCRISTATUS,,TROPICRANUS,ALBOCRISTATUS,BIRD
TABO,B,CC,BC,TROPICRANUS,ALBOCRISTATUS,,LONG-TAILED,HORNBILL,BIRD
TABR,B,AN,AN,TACHYERES,BRACHYPTERUS,,FALKLAND,STEAMERDUCK,BIRD
TAC?,B,AN,AN,TACHYERES,SPECIES,,,STEAMERDUCK,BIRD
TACA,B,AN,AN,TADORNA,CANA, ,SOUTH AFRICAN,SHELDUCK,BIRD
TACC,B,PA,EM,TACHYPHONUS,CORONATUS,,RUBY-CROWNED,TANAGER,BIRD
TACH,B,PA,EM,TANGARA,CHILENSIS,,PARADISE,TANAGER,BIRD
TACL,B,AN,AN,TACHYERES,LEUCOCEPHALUS,,CHUBUT,STEAMERDUCK,BIRD
TACO,B,CU,MP,TAURACO,CORYTHAIX, ,KNYSNA,TURACO,BIRD
TACO,B,CU,MP,TAURACO,PERSA,CORYTHAIX,TAURACO,CORYTHAIX,BIRD
TACP,B,PA,EM,TACHYPHONUS,PHOENICIUS,,RED-SHOULDERED,TANAGER,BIRD
TACR,B,PA,EM,TACHYPHONUS,RUFUS,,WHITE-LINED,TANAGER,BIRD
TACY,B,PA,MC,TARSIGER,CYANURUS, ,ORANGE-FLANKED,BUSH-ROBIN,BIRD
TAD?,B,AN,AN,TADORNA,SPECIES, , ,SHELDUCK,BIRD
TAE?,B,PA,ET,TAENIOPYGIA,SPECIES, , ,FINCH,BIRD
TAEG,B,PA,ET,TAENIOPYGIA,GUTTATA, ,ZEBRA,FINCH,BIRD
TAEG,B,PA,ET,POEPHILA,GUTTATA, ,TAENIOPYGIA,GUTTATA,BIRD
TAER,B,CU,MP,TAURACO,ERYTHROLOPHUS, ,RED-CRESTED,TURACO,BIRD
TAFA,B,PA,EM,TANGARA,FASTUOSA, ,SEVEN-COLORED,TANAGER,BIRD
TAFI,B,CU,MP,TAURACO,FISCHERI, ,FISCHER'S,TURACO,BIRD
TAFI,B,CU,MP,TAURACO,CORYTHAIX,FISCHERI,TAURACO,FISCHERI,BIRD
TAFL,B,PA,EM,TANGARA,FLORIDA,,EMERALD,TANAGER,BIRD
TAG?,B,PA,EM,TANGARA,SPECIES, , ,TANAGER,BIRD
TAGR,B,PS,PS,TANYGNATHUS,GRAMINEUS, ,BLACK-LORED,PARROT,BIRD
TAGU,B,PA,TW,TROGLODYTES,AEDON,GUADELOUPENSIS,GUADELOUPE HOUSE,WREN,BIRD
TAGY,B,PA,EM,TANGARA,GYROLA,,BAY-HEADED,TANAGER,BIRD
TAH?,B,PA,EM,TACHYPHONUS,SPECIES,,,TANAGER,BIRD
TAHA,B,CU,MP,TAURACO,HARTLAUBI, ,HARTLAUB'S,TURACO,BIRD
TAHE,B,PS,PS,TANYGNATHUS,SUMATRANUS,HETERURUS,RUFOUS-TAILED,PARROT,BIRD
TAHE,B,PS,PS,TANYGNATHUS,HETERURUS, ,TANYGNATHUS,SUMATRANUS,BIRD
TAHY,B,AP,TO,LEUCIPPUS,HYPOSTICTUS, ,MANY-SPOTTED,HUMMINGBIRD,BIRD
TAHY,B,AP,TO,TAPHROSPILUS,HYPOSTICTUS,,LEUCIPPUS,HYPOSTICTUS,BIRD
TAIC,B,PA,EM,TANGARA,ICTEROCEPHALA,,SILVER-THROATED,TANAGER,BIRD
TAJO,B,CU,MP,TAURACO,JOHNSTONI, ,MUSOPHAGA,JOHNSTONI,BIRD
TAJO,B,CU,MP,MUSOPHAGA,JOHNSTONI, ,RUWENZORI,TURACO,BIRD
TALA,B,PA,EM,TANGARA,LABRADORIDES,,METALLIC-GREEN,TANAGER,BIRD
TALE,B,CU,MP,TAURACO,LEUCOLOPHUS, ,WHITE-CRESTED,TURACO,BIRD
TALI,B,CU,MP,TAURACO,LIVINGSTONII, ,LIVINGSTONE'S,TURACO,BIRD
TALI,B,CU,MP,TAURACO,CORYTHAIX,LIVINGSTONII,TAURACO,LIVINGSTONII,BIRD
TALU,B,PA,EM,TACHYPHONUS,LUCTUOSUS,,WHITE-SHOULDERED,TANAGER,BIRD
TAMA,B,CU,MP,TAURACO,MACRORHYNCHUS, ,YELLOW-BILLED,TURACO,BIRD
TAME,B,PA,TW,TROGLODYTES,AEDON,MESOLEUCUS,ST. LUCIA HOUSE,WREN,BIRD
TAN?,B,PS,PS,TANYGNATHUS,SPECIES, , ,PARROT,BIRD
TANA,B,CU,CU,TAPERA,NAEVIA, ,STRIPED,CUCKOO,BIRD
TANC,B,PA,EM,TANGARA,CYANICOLLIS, ,BLUE-NECKED,TANAGER,BIRD
TANH,B,PA,EM,TANGARA,HEINEI,,BLACK-CAPPED,TANAGER,BIRD
TANL,B,PS,PS,TANYGNATHUS,LUCIONENSIS, ,BLUE-NAPED,PARROT,BIRD
TANM,B,PS,PS,TANYGNATHUS,MAGALORYNCHOS, ,GREAT-BILLED,PARROT,BIRD
TANN,B,PA,EM,TANGARA,NIGROVIRIDIS,,BERYL-SPANGLED,TANAGER,BIRD
TANP,B,PA,EM,TANGARA,PALMERI,,GREY-AND-GOLD,TANAGER,BIRD
TANR,B,PA,EM,TANGARA,RUFICERVIX,,GOLDEN NAPED,TANAGER,BIRD
TANS,B,PA,EM,TANGARA,SCHRANKII,,GREEN-AND-GOLD,TANAGER,BIRD
TANV,B,PA,EM,TANGARA,VASSORII,,BLUE-AND-BLACK,TANAGER,BIRD
TANX,B,PA,EM,TANGARA,XANTHOCEPHALA,,SILVER-THROATED,TANAGER,BIRD
TAPA,B,AN,AN,TACHYERES,PATACHONICUS,,FLYING,STEAMERDUCK,BIRD
TAPG,B,AP,TO,TAPHROLESBIA,GRISEIVENTRIS, ,GREY-BELLIED,COMET,BIRD
TAPH,B,AP,AP,TACHORNIS,PHOENICOBIA, ,ANTILLEAN PALM,SWIFT,BIRD
TARF,B,PA,EM,TANGARA,RUFIGULA,,RUFOUS-THROATED,TANAGER,BIRD
TARU,B,PO,PO,TACHYBAPTUS,RUFOFLAVATUS, ,ALAOTRA,GREBE,BIRD
TASC,B,CU,MP,TAURACO,SCHUETII, ,BLACK-BILLED,TURACO,BIRD
TASC,B,CU,MP,TAURACO,CORYTHAIX,SCHUETII,TAURACO,SCHUETII,BIRD
TASU,B,PA,EM,TACHYPHONUS,SURINAMUS,,FULVOUS-CRESTED,TANAGER,BIRD
TAU?,B,CU,MP,TAURACO,SPECIES, , ,TURACO,BIRD
TAUB,B,CU,MP,TAURACO,BANNERMANI, ,BANNERMAN'S,TURACO,BIRD
TAUL,B,CU,MP,TAURACO,LEUCOTIS, ,WHITE-CHEEKED,TURACO,BIRD
TAUP,B,CU,MP,TAURACO,PERSA, ,GUINEA,TURACO,BIRD
TAUP,B,CU,MP,TAURACO,CORYTHAIX,PERSA,TAURACO,PERSA,BIRD
TAUS,B,CU,MP,TAURACO,CORYTHAIX,SCHALOWI,TAURACO,SCHALOWI,BIRD
TAUS,B,CU,MP,TAURACO,SCHALOWI, ,SCHALOW'S,TURACO,BIRD
TAVA,B,AN,AN,TADORNA,VARIEGATA, ,PARADISE,SHELDUCK,BIRD
TAVA,B,AN,AN,CASARCA,VARIEGATA,,TADORNA,VARIEGATA,BIRD
TAVI,B,PA,EM,TANGARA,VITRIOLINA,,SCRUB,TANAGER,BIRD
TBKI,B,PA,TD,TYRANNUS,CRASSIROSTRIS, ,THICK-BILLED,KINGBIRD,BIRD
TBMU,B,CR,AL,URIA,LOMVIA, ,THICK-BILLED,MURRE,BIRD
TCAL,B,PA,EM,TANGARA,CALLOPHRYS,,OPAL-CROWNED,TANAGER,BIRD
TCBO,B,PA,MC,TERPSIPHONE,BOURBONNENSIS, ,MASCARENE PARADISE,FLYCATCHER,BIRD
TCBO,B,PA,MC,TCHITREA,BOURBONNENSIS, ,TERPSIPHONE,BOURBONNENSIS,BIRD
TCHA,B,CO,CO,TURTUR,CHALCOSPILOS,,EMERALD-SPOT WOOD,DOVE,BIRD
TCHL,B,PS,PS,TRICHOGLOSSUS,CHLOROLEPIDOTUS, ,SCALY-BREASTED,LORIKEET,BIRD
TCHR,B,PA,EM,TANGARA,CHRYSOTIS,,GOLDEN-EARED,TANAGER,BIRD
TCOS,B,PS,PS,TOUIT,COSTARICENSIS, ,RED-FRONTED,PARROTLET,BIRD
TCOS,B,PS,PS,TOUIT,DILECTISSIMA,COSTARICENSIS,TOUIT,COSTARICENSIS,BIRD
TCP?,B,PF,CA,TRACHYPHONUS,SPECIES, , ,BARBET,BIRD
TCRD,B,PA,MC,TURDUS,CARDIS,,JAPANESE,THRUSH,BIRD
TCSL,B,PA,MC,TURDUS,CHRYSOLAUS,,BROWN-HEADED,THRUSH,BIRD
TCUP,B,GA,PD,TYMPANUCHUS,CUPIDO,PINNATUS,GREATER,PRAIRIE CHICKEN,BIRD
TCYA,B,PA,EM,TANGARA,CYANOPTERA,,BLACK-HEADED,TANAGER,BIRD
TCYN,B,PA,EM,TANGARA,CYANOTIS,,BLUE-BROWED,TANAGER,BIRD
TD$$,B,PA,TD,TYRANNIDAE,,,TYRANT,FLYCATCHERS,BIRD
TDD?,B,PA,MC,TURDOIDES,SPECIES,,,BABBLER,BIRD
TDT?,B,PA,FU,THRIPADECTES,SPECIES,,,TREEHUNTER,BIRD
TECA,B,GA,PD,TETRAOGALLUS,CASPIUS, ,CASPIAN,SNOWCOCK,BIRD
TECN,B,PA,MC,TERPSIPHONE,CYANESCENS,,BLUE PARADISE,FLYCATCHER,BIRD
TEEC,B,FA,AC,TERATHOPIUS,ECAUDATUS, , ,BATELEUR,BIRD
TELC,B,PA,DR,TELESPYZA,CANTANS, ,LAYSAN,FINCH,BIRD
TELC,B,PA,DR,PSITTIROSTRA,CANTANS, ,TELESPYZA,CANTANS,BIRD
TELU,B,PA,DR,TELESPYZA,ULTIMA, ,NIHOA,FINCH,BIRD
TELU,B,PA,DR,PSITTIROSTRA,ULTIMA, ,TELESPYZA,ULTIMA,BIRD
TEP?,B,PA,MC,TERPSIPHONE,SPECIES,,PARADISE,FLYCATCHER,BIRD
TEPA,B,GA,PD,TETRAO,PARVIROSTRIS, ,BLACK-BILLED,CAPERCAILLIE,BIRD
TERC,B,PA,MC,TERPSIPHONE,CORVINA, ,SEYCHELLES PARADIS,FLYCATCHER,BIRD
TERP,B,PA,MC,TERPSIPHONE,PARADISI,,ASIAN PARADISE,FLYCATCHER,BIRD
TERU,B,PA,MC,TERPSIPHONE,RUFIVENTER,,BLACKHEAD PARADISE,FLYCATCHER,BIRD
TERV,B,PA,MC,TERPSIPHONE,VIRIDIS,,AFRICAN PARADISE,FLYCATCHER,BIRD
TEST,B,CR,SO,CALIDRIS,TEMMINCKII, ,TEMMINCK'S,STINT,BIRD
TET?,B,GA,PD,TETRAO,SPECIES, , ,GROUSE,BIRD
TET?,B,GA,PD,LYRURUS,SPECIES, ,TETRAO,SPECIES,BIRD
TETE,B,GR,OI,TETRAX,TETRAX, ,LITTLE,BUSTARD,BIRD
TETE,B,GR,OI,OTIS,TETRAX,,TETRAX,TETRAX,BIRD
TETI,B,GA,PD,TETRAOGALLUS,TIBETANUS, ,TIBETAN,SNOWCOCK,BIRD
TETT,B,GA,PD,TETRAO,TETRIX, ,BLACK,GROUSE,BIRD
TEUR,B,GA,PD,TETRAO,UROGALLUS, ,WESTERN,CAPERCAILLIE,BIRD
TEVR,B,PA,EM,TERSINA,VIRIDIS,,SWALLOW,TANAGER,BIRD
TEWA,B,PA,EM,VERMIVORA,PEREGRINA, ,TENNESSEE,WARBLER,BIRD
TFLA,B,PS,PS,TRICHOGLOSSUS,FLAVOVIRIDIS, ,YELLOW & GREEN,LORIKEET,BIRD
TGL?,B,PA,TW,TROGLODYTES,SPECIES,,,WREN,BIRD
TGN#,B,TR,TR,TROGONIDAE, , , ,"TROGONS, QUETZALS",BIRD
TGN?,B,TR,TR,TROGON,SPECIES, , ,TROGON,BIRD
TGOL,B,PS,PS,PSITTEUTELES,GOLDIEI, ,GOLDIE'S,LORIKEET,BIRD
TGOL,B,PS,PS,TRICHOGLOSSUS,GOLDIEI, ,PSITTEUTELES,GOLDIEI,BIRD
THAA,B,PA,FO,THAMNOPHILUS,AETHIOPS,,WHITE SHOULDERED,ANTSHRIKE,BIRD
THAC,B,AP,TO,THALURANIA,COLOMBICA, ,PURPLE-CROWNED,WOOD-NYMPH,BIRD
THAC,B,AP,TO,THALURANIA,FURCATA,COLOMBICA,THALURANIA,COLOMBICA,BIRD
THAE,B,PS,PS,TRICHOGLOSSUS,HAEMATODUS, ,RAINBOW,LORIKEET,BIRD
THAF,B,AP,TO,THALURANIA,FANNYI,,GREEN-CROWNED,WOOD-NYMPH,BIRD
THBO,B,PA,EM,THRAUPIS,BONARIENSIS,,BLUE-AND-YELLOW,TANAGER,BIRD
THCO,B,AP,TO,THAUMASTURA,CORA, ,PERUVIAN,SHEAR-TAIL,BIRD
THCR,B,AP,TO,THRENETES,NIGER,LOEHKENI,BRONZE-TAILED,BARBTHROAT,BIRD
THCR,B,AP,TO,THRENETES,LOEHKENI,,THRENETES,NIGER,BIRD
THCR,B,AP,TO,THRENETES,CRISTINAE, ,THRENETES,NIGER,BIRD
THCR,B,AP,TO,THRENETES,LOEHKENI, ,THRENETES,NIGER,BIRD
THEP,B,PA,EM,THRAUPIS,EPISCOPUS, ,BLUE-GREY,TANAGER,BIRD
THFA,B,PA,TW,THRYOTHORUS,FASCIATOVENTRIS, ,BLACK-BELLIED,WREN,BIRD
THFU,B,AP,TO,THALURANIA,FURCATA, ,FORK-TAILED,WOOD-NYMPH,BIRD
THGL,B,AP,TO,THALURANIA,GLAUCOPIS, ,VIOLET-CAPPED,WOOD-NYMPH,BIRD
THGR,B,AP,TO,GLAUCIS,HIRSUTA, ,HAIRY,HERMIT,BIRD
THGR,B,AP,TO,THRENETES,GRZIMEKI, ,GLAUCIS,HIRSUTA,BIRD
THGU,B,CR,LA,LARUS,THAYERI, ,THAYER'S,GULL,BIRD
THHO,B,PA,FU,THRIPADECTES,HOLOSTICTUS,,STRIPED,TREEHUNTER,BIRD
THL?,B,AP,TO,THALURANIA,SPECIES, , ,WOOD-NYMPH,BIRD
THLE,B,AP,TO,THRENETES,NIGER,LEUCURUS,WHITE-TAILED,BARBTHROAT,BIRD
THLE,B,AP,TO,THRENETES,LEUCURUS,,THRENETES,NIGER,BIRD
THLO,B,AP,TO,THRENETES,CRISTINAE, ,THRENETES,NIGER,BIRD
THLO,B,AP,TO,THRENETES,NIGER,LOEHKENI,BRONZE-TAILED,BARBTHROAT,BIRD
THLO,B,AP,TO,THRENETES,LOEHKENI, ,THRENETES,NIGER,BIRD
THLO,B,AP,TO,THRENETES,LOEHKENI,,THRENETES,NIGER,BIRD
THM?,B,PA,FO,THAMNOMANES,SPECIES, , ,ANTSHRIKE,BIRD
THMC,B,PA,TW,THRYOTHORUS,MACULIPECTUS,,SPOT-BREASTED,WREN,BIRD
THME,B,PA,FU,THRIPADECTES,MELANORHYNCHUS,,BLACK-BILLED,TREEHUNTER,BIRD
THN?,B,AP,TO,THRENETES,SPECIES, , ,BARBTHROAT,BIRD
THNI,B,AP,TO,THRENETES,NIGER, ,PALE-TAILED,BARBTHROAT,BIRD
THNO,B,CR,CH,THINORNIS,NOVAESEELANDIAE, ,NEW ZEALAND SHORE,PLOVER,BIRD
THPU,B,PA,FO,THAMNOPHILUS,PUNCTATUS,,SLATY,ANTSHRIKE,BIRD
THR#,B,CI,TK,THRESKIORNITHIDAE, , , ,"IBISES, SPOONBILLS",BIRD
THR$,B,PA,EM,THRAUPINAE,,,,TANAGERS,BIRD
THRA,B,CI,TK,THRESKIORNIS,AETHIOPICUS, ,SACRED,IBIS,BIRD
THRA,B,CI,TK,THRESKIORNIS,BERNIERI,,THRESKIORNIS,AETHIOPICUS,BIRD
THRL,B,PA,TW,THRYOTHORUS,LEUCOTIS,,BUFF-BREASTED,WREN,BIRD
THRM,B,CI,TK,THRESKIORNIS,MOLUCCA,,AUSTRALIAN,IBIS,BIRD
THRU,B,AP,TO,THRENETES,RUCKERI, ,BAND-TAILED,BARBTHROAT,BIRD
THSC,B,PA,TW,THRYOTHORUS,SCLATERI,,SPECKLE-BREASTED,WREN,BIRD
THSI,B,PA,TW,THRYOTHORUS,SINALOA,,SINALOA,WREN,BIRD
THT?,B,PA,TW,THRYOTHORUS,SPECIES, , ,WREN,BIRD
THUN,B,PA,FO,THAMNOPHILUS,UNICOLOR,,UNIFORM,ANTSHRIKE,BIRD
THWA,B,AP,TO,THALURANIA,WATERTONII, ,LONG-TAILED,WOOD-NYMPH,BIRD
TIDU,B,AP,TO,TILMATURA,DUPONTII, ,SPARKLING-TAILED,WOODSTAR,BIRD
TIDU,B,AP,TO,PHILODICE,DUPONTII,,TILMATURA,DUPONTII,BIRD
TIIN,B,PA,CG,TITYRA,INQUISITOR,,BLACK-CROWNED,TITYRA,BIRD
TIN#,B,TI,TI,TINAMIDAE, , , ,TINAMOUS,BIRD
TISE,B,PA,CG,TITYRA,SEMIFASCIATA,,MASKED,TITYRA,BIRD
TISO,B,TI,TI,TINAMUS,SOLITARIUS, ,SOLITARY,TINAMOU,BIRD
TIT?,B,PA,CG,TITYRA,SPECIES,,,TITYRA,BIRD
TK$$,B,CI,TK,THRESKIORNITHIDAE,,,"SPOONBILLS,",IBISES,BIRD
TLAR,B,PA,EM,TANGARA,LARVATA,,GOLDEN-HOODED,TANAGER,BIRD
TLAV,B,PA,EM,TANGARA,LAVINIA,,RUFOUS-WINGED,TANAGER,BIRD
TLER,B,AP,TO,THALURANIA,LERCHI, ,LERCH'S,WOOD-NYMPH,BIRD
TLEU,B,AN,AN,THALASSORNIS,LEUCONOTUS, ,WHITE-BACKED,DUCK,BIRD
